date,pop_<5,pop_5-14,pop_15-24,pop_25-34,pop_35-44,pop_45-54,pop_55-64,pop_65-74,pop_75-84,pop_>84,inf_<5,inf_5-14,inf_15-24,inf_25-34,inf_35-44,inf_45-54,inf_55-64,inf_65-74,inf_75-84,inf_>84,dea_<5,dea_5-14,dea_15-24,dea_25-34,dea_35-44,dea_45-54,dea_55-64,dea_65-74,dea_75-84,dea_>84
2021/10/28,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,379,2065,2845,2811,3314,3755,3067,1561,1092,675,0,0,0,1,4,6,31,51,118,131
2021/10/27,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,377,2056,2837,2793,3294,3728,3037,1551,1082,675,0,0,0,1,4,6,31,50,118,131
2021/10/26,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,377,2047,2825,2782,3270,3709,3029,1541,1074,671,0,0,0,1,4,6,31,50,118,131
2021/10/25,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,376,2031,2822,2769,3251,3691,3003,1530,1066,671,0,0,0,1,4,6,31,50,118,131
2021/10/24,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,372,2022,2816,2759,3240,3680,2998,1525,1065,671,0,0,0,1,4,6,31,50,118,131
2021/10/23,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,372,2017,2809,2753,3233,3673,2984,1518,1064,669,0,0,0,1,4,6,31,50,118,131
2021/10/22,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,370,1998,2805,2743,3221,3660,2971,1517,1061,668,0,0,0,1,4,6,31,50,118,131
2021/10/21,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,370,1987,2800,2734,3209,3646,2966,1510,1058,664,0,0,0,1,4,6,31,50,118,130
2021/10/20,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,368,1981,2788,2726,3198,3631,2952,1505,1057,664,0,0,0,1,4,6,31,50,118,130
2021/10/19,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,366,1977,2773,2719,3186,3619,2941,1501,1055,664,0,0,0,1,4,6,31,50,118,130
2021/10/18,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,366,1968,2761,2715,3180,3603,2933,1494,1054,663,0,0,0,1,4,6,31,50,118,130
2021/10/17,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,363,1959,2748,2706,3169,3598,2927,1490,1049,663,0,0,0,1,4,6,31,50,118,130
2021/10/16,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,360,1951,2744,2703,3165,3590,2915,1486,1047,663,0,0,0,1,4,6,31,50,118,130
2021/10/15,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,360,1951,2741,2696,3162,3586,2909,1482,1046,663,0,0,0,1,4,6,31,50,118,129
2021/10/14,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,358,1945,2730,2691,3154,3580,2905,1481,1045,662,0,0,0,1,4,6,31,50,118,129
2021/10/13,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,358,1939,2727,2685,3149,3576,2894,1477,1044,662,0,0,0,1,4,6,31,50,118,129
2021/10/12,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,358,1936,2722,2679,3145,3571,2893,1474,1042,662,0,0,0,1,4,6,31,50,118,129
2021/10/11,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,358,1926,2714,2670,3134,3561,2889,1472,1041,662,0,0,0,1,4,6,31,50,118,129
2021/10/10,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,357,1924,2712,2664,3130,3557,2884,1469,1038,662,0,0,0,1,4,6,31,50,118,129
2021/10/09,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,357,1920,2702,2658,3128,3551,2878,1469,1038,662,0,0,0,1,4,6,31,50,118,129
2021/10/08,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,356,1920,2695,2652,3123,3547,2876,1466,1037,662,0,0,0,1,4,6,31,50,118,129
2021/10/07,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,355,1916,2691,2647,3111,3539,2875,1462,1037,662,0,0,0,1,4,6,31,50,118,129
2021/10/06,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,353,1904,2682,2636,3104,3530,2869,1461,1035,662,0,0,0,1,4,6,31,50,118,129
2021/10/05,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,351,1896,2679,2625,3099,3525,2864,1459,1035,661,0,0,0,1,4,6,31,50,117,129
2021/10/04,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,351,1878,2667,2620,3090,3520,2859,1456,1034,658,0,0,0,1,4,6,31,50,117,129
2021/10/03,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,351,1877,2663,2615,3085,3519,2854,1456,1034,657,0,0,0,1,4,6,31,50,117,129
2021/10/02,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,348,1872,2661,2614,3084,3516,2853,1455,1033,657,0,0,0,1,4,6,31,50,117,129
2021/10/01,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,347,1865,2657,2609,3077,3512,2851,1452,1033,656,0,0,0,1,4,6,31,50,117,129
2021/09/30,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,345,1854,2650,2602,3071,3504,2846,1450,1033,655,0,0,0,1,4,6,31,50,117,129
2021/09/29,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,345,1847,2649,2600,3066,3500,2843,1449,1033,655,0,0,0,1,4,6,30,50,117,129
2021/09/28,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,344,1840,2644,2598,3059,3495,2840,1448,1033,655,0,0,0,1,4,6,30,50,116,129
2021/09/27,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,340,1829,2638,2586,3050,3487,2838,1446,1033,654,0,0,0,1,4,6,30,50,116,129
2021/09/26,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,337,1824,2633,2578,3046,3482,2837,1445,1033,654,0,0,0,1,4,6,30,50,116,129
2021/09/25,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,335,1818,2633,2575,3043,3480,2833,1443,1033,654,0,0,0,1,4,6,30,50,116,129
2021/09/24,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,334,1818,2631,2569,3039,3478,2829,1443,1032,654,0,0,0,1,4,6,30,50,116,129
2021/09/23,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,334,1815,2628,2567,3033,3473,2826,1442,1031,653,0,0,0,1,4,6,30,50,116,129
2021/09/22,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,331,1811,2624,2555,3032,3471,2824,1442,1030,653,0,0,0,1,4,6,30,50,116,129
2021/09/21,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,331,1805,2620,2554,3030,3467,2824,1439,1028,652,0,0,0,1,4,6,30,50,116,128
2021/09/20,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,330,1797,2618,2551,3027,3463,2817,1439,1026,651,0,0,0,1,4,6,30,50,116,128
2021/09/19,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,329,1790,2618,2543,3020,3462,2813,1437,1025,649,0,0,0,1,4,6,30,50,116,128
2021/09/18,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,327,1784,2613,2539,3018,3457,2808,1434,1025,649,0,0,0,1,4,6,30,50,116,128
2021/09/17,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,327,1783,2609,2536,3014,3456,2806,1432,1025,648,0,0,0,1,4,6,30,50,116,128
2021/09/16,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,318,1778,2597,2529,3008,3448,2804,1429,1025,648,0,0,0,1,4,6,30,50,116,128
2021/09/15,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,315,1771,2592,2523,3005,3443,2800,1428,1025,646,0,0,0,1,4,6,30,50,116,128
2021/09/14,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,310,1764,2585,2516,2998,3441,2797,1426,1024,646,0,0,0,1,4,6,30,50,116,128
2021/09/13,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,308,1751,2575,2508,2993,3431,2792,1422,1022,646,0,0,0,1,4,6,30,50,116,127
2021/09/12,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,305,1742,2571,2502,2984,3423,2782,1420,1019,645,0,0,0,1,4,6,30,50,116,127
2021/09/11,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,305,1738,2569,2498,2983,3420,2782,1420,1017,645,0,0,0,1,4,6,30,50,116,127
2021/09/10,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,305,1733,2565,2493,2979,3415,2775,1417,1016,644,0,0,0,1,4,6,30,50,116,127
2021/09/09,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,301,1728,2558,2483,2976,3411,2773,1415,1016,643,0,0,0,1,4,6,30,50,116,127
2021/09/08,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,301,1710,2552,2478,2967,3405,2765,1412,1015,642,0,0,0,1,4,6,30,50,116,127
2021/09/07,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,300,1699,2541,2470,2965,3399,2762,1410,1014,642,0,0,0,1,4,6,30,50,116,127
2021/09/06,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,299,1690,2531,2467,2954,3390,2754,1407,1014,642,0,0,0,1,4,6,30,50,116,127
2021/09/05,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,299,1684,2525,2462,2950,3385,2747,1403,1013,641,0,0,0,1,4,6,30,50,116,127
2021/09/04,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,299,1668,2511,2460,2940,3375,2744,1401,1011,641,0,0,0,1,4,6,30,50,116,127
2021/09/03,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,297,1663,2505,2458,2930,3370,2742,1401,1009,641,0,0,0,1,4,6,30,50,116,127
2021/09/02,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,296,1658,2490,2451,2920,3369,2741,1395,1006,640,0,0,0,1,4,6,30,50,116,126
2021/09/01,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,295,1651,2485,2440,2914,3362,2738,1389,1006,640,0,0,0,1,4,6,30,50,116,126
2021/08/31,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,293,1646,2475,2436,2904,3359,2735,1388,1006,640,0,0,0,1,4,6,30,50,116,126
2021/08/30,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,293,1642,2466,2428,2898,3356,2730,1388,1005,639,0,0,0,1,4,6,30,50,116,126
2021/08/29,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,293,1638,2460,2423,2895,3353,2730,1388,1005,639,0,0,0,1,4,6,30,50,116,126
2021/08/28,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,292,1629,2447,2421,2891,3351,2728,1388,1003,639,0,0,0,1,4,6,30,50,116,126
2021/08/27,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,291,1627,2438,2418,2889,3345,2727,1387,1003,639,0,0,0,1,4,6,30,50,116,125
2021/08/26,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,289,1623,2433,2411,2885,3340,2725,1387,1002,637,0,0,0,1,4,6,30,50,115,125
2021/08/25,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,285,1622,2423,2406,2882,3336,2723,1387,1001,636,0,0,0,1,4,6,30,50,115,125
2021/08/24,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,285,1619,2416,2405,2880,3330,2720,1386,1001,636,0,0,0,1,4,6,30,50,115,125
2021/08/23,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,283,1614,2406,2400,2873,3324,2717,1386,1001,636,0,0,0,1,4,6,30,50,115,125
2021/08/22,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,283,1613,2405,2400,2871,3322,2717,1384,998,636,0,0,0,1,4,6,30,50,115,125
2021/08/21,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,282,1612,2401,2398,2871,3320,2715,1384,998,635,0,0,0,1,4,6,30,50,115,125
2021/08/20,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,281,1608,2400,2395,2869,3313,2715,1384,998,635,0,0,0,1,4,6,30,50,115,125
2021/08/19,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,280,1604,2393,2394,2861,3308,2714,1382,998,632,0,0,0,1,4,6,30,50,115,125
2021/08/18,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,278,1600,2387,2391,2859,3305,2712,1381,998,632,0,0,0,1,4,6,30,50,115,125
2021/08/17,12097,26759,27114,30994,37831,45833,48491,35889,22070,8932,278,1598,2384,2389,2855,3301,2712,1381,997,630,0,0,0,1,4,6,30,50,115,125
