date,pop_m_<5,pop_w_<5,pop_m_5-14,pop_w_5-14,pop_m_15-24,pop_w_15-24,pop_m_25-34,pop_w_25-34,pop_m_35-44,pop_w_35-44,pop_m_45-54,pop_w_45-54,pop_m_55-64,pop_w_55-64,pop_m_65-74,pop_w_65-74,pop_m_75-84,pop_w_75-84,pop_m_>84,pop_w_>84,inf_m_<5,inf_w_<5,inf_m_5-14,inf_w_5-14,inf_m_15-24,inf_w_15-24,inf_m_25-34,inf_w_25-34,inf_m_35-44,inf_w_35-44,inf_m_45-54,inf_w_45-54,inf_m_55-64,inf_w_55-64,inf_m_65-74,inf_w_65-74,inf_m_75-84,inf_w_75-84,inf_m_>84,inf_w_>84,dea_m_<5,dea_w_<5,dea_m_5-14,dea_w_5-14,dea_m_15-24,dea_w_15-24,dea_m_25-34,dea_w_25-34,dea_m_35-44,dea_w_35-44,dea_m_45-54,dea_w_45-54,dea_m_55-64,dea_w_55-64,dea_m_65-74,dea_w_65-74,dea_m_75-84,dea_w_75-84,dea_m_>84,dea_w_>84
2021/10/13,6217,5880,13696,13063,14147,12967,15736,15258,18430,19401,22881,22952,24113,24378,17473,18416,9705,12365,2888,6044,187,169,1005,937,1491,1238,1342,1337,1518,1626,1702,1869,1525,1369,761,715,456,587,178,484,0,0,0,0,0,0,1,0,3,1,4,2,25,6,41,9,62,55,49,80
2021/10/12,6217,5880,13696,13063,14147,12967,15736,15258,18430,19401,22881,22952,24113,24378,17473,18416,9705,12365,2888,6044,187,169,1003,936,1488,1236,1341,1332,1516,1624,1699,1867,1525,1368,759,715,456,585,178,484,0,0,0,0,0,0,1,0,3,1,4,2,25,6,41,9,62,55,49,80
2021/10/11,6217,5880,13696,13063,14147,12967,15736,15258,18430,19401,22881,22952,24113,24378,17473,18416,9705,12365,2888,6044,187,169,999,930,1482,1234,1337,1327,1511,1618,1695,1860,1522,1367,758,714,456,584,178,484,0,0,0,0,0,0,1,0,3,1,4,2,25,6,41,9,62,55,49,80
2021/10/10,6217,5880,13696,13063,14147,12967,15736,15258,18430,19401,22881,22952,24113,24378,17473,18416,9705,12365,2888,6044,187,168,997,930,1480,1233,1333,1324,1509,1616,1695,1856,1518,1366,757,712,456,581,178,484,0,0,0,0,0,0,1,0,3,1,4,2,25,6,41,9,62,55,49,80
2021/10/09,6217,5880,13696,13063,14147,12967,15736,15258,18430,19401,22881,22952,24113,24378,17473,18416,9705,12365,2888,6044,187,168,995,928,1475,1227,1329,1323,1508,1615,1691,1854,1516,1362,757,712,456,581,178,484,0,0,0,0,0,0,1,0,3,1,4,2,25,6,41,9,62,55,49,80
2021/10/08,6217,5880,13696,13063,14147,12967,15736,15258,18430,19401,22881,22952,24113,24378,17473,18416,9705,12365,2888,6044,186,168,995,928,1470,1225,1324,1322,1506,1612,1690,1851,1515,1361,756,710,455,581,178,484,0,0,0,0,0,0,1,0,3,1,4,2,25,6,41,9,62,55,49,80
2021/10/07,6217,5880,13696,13063,14147,12967,15736,15258,18430,19401,22881,22952,24113,24378,17473,18416,9705,12365,2888,6044,185,168,993,926,1469,1222,1322,1319,1501,1605,1686,1847,1514,1361,756,706,455,581,178,484,0,0,0,0,0,0,1,0,3,1,4,2,25,6,41,9,62,55,49,80
2021/10/06,6217,5880,13696,13063,14147,12967,15736,15258,18430,19401,22881,22952,24113,24378,17473,18416,9705,12365,2888,6044,185,166,987,920,1465,1217,1315,1315,1498,1601,1681,1843,1511,1358,756,705,453,581,178,484,0,0,0,0,0,0,1,0,3,1,4,2,25,6,41,9,62,55,49,80
2021/10/05,6217,5880,13696,13063,14147,12967,15736,15258,18430,19401,22881,22952,24113,24378,17473,18416,9705,12365,2888,6044,183,166,980,919,1465,1214,1311,1308,1496,1598,1680,1839,1509,1355,754,705,453,581,178,483,0,0,0,0,0,0,1,0,3,1,4,2,25,6,41,9,62,54,49,80
2021/10/04,6217,5880,13696,13063,14147,12967,15736,15258,18430,19401,22881,22952,24113,24378,17473,18416,9705,12365,2888,6044,183,166,972,909,1459,1208,1308,1306,1491,1593,1678,1836,1506,1353,752,704,453,580,178,480,0,0,0,0,0,0,1,0,3,1,4,2,25,6,41,9,62,54,49,80
2021/10/03,6217,5880,13696,13063,14147,12967,15736,15258,18430,19401,22881,22952,24113,24378,17473,18416,9705,12365,2888,6044,183,166,971,909,1457,1206,1306,1304,1489,1590,1677,1836,1502,1352,752,704,453,580,178,479,0,0,0,0,0,0,1,0,3,1,4,2,25,6,41,9,62,54,49,80
2021/10/02,6217,5880,13696,13063,14147,12967,15736,15258,18430,19401,22881,22952,24113,24378,17473,18416,9705,12365,2888,6044,181,165,970,905,1457,1205,1305,1304,1488,1590,1675,1835,1502,1351,751,704,453,579,178,479,0,0,0,0,0,0,1,0,3,1,4,2,25,6,41,9,62,54,49,80
