date,pop_<5,pop_5-14,pop_15-24,pop_25-34,pop_35-44,pop_45-54,pop_55-64,pop_65-74,pop_75-84,pop_>84,inf_<5,inf_5-14,inf_15-24,inf_25-34,inf_35-44,inf_45-54,inf_55-64,inf_65-74,inf_75-84,inf_>84,dea_<5,dea_5-14,dea_15-24,dea_25-34,dea_35-44,dea_45-54,dea_55-64,dea_65-74,dea_75-84,dea_>84
2021/08/08,23821,50649,54071,64913,69251,83308,90356,64428,44283,17009,359,2557,5369,5635,5776,7183,6006,3149,2832,1942,0,0,0,0,1,14,36,104,262,405
2021/08/07,23821,50649,54071,64913,69251,83308,90356,64428,44283,17009,357,2553,5365,5632,5773,7181,6003,3149,2832,1942,0,0,0,0,1,14,36,104,262,405
2021/08/06,23821,50649,54071,64913,69251,83308,90356,64428,44283,17009,357,2552,5358,5624,5770,7178,6003,3149,2832,1942,0,0,0,0,1,14,36,104,262,405
2021/08/05,23821,50649,54071,64913,69251,83308,90356,64428,44283,17009,356,2548,5345,5618,5765,7174,6000,3147,2832,1942,0,0,0,0,1,14,36,104,262,405
2021/08/04,23821,50649,54071,64913,69251,83308,90356,64428,44283,17009,356,2544,5338,5612,5761,7167,5999,3147,2832,1941,0,0,0,0,1,14,36,104,262,405
2021/08/03,23821,50649,54071,64913,69251,83308,90356,64428,44283,17009,356,2542,5330,5605,5757,7165,5999,3146,2831,1941,0,0,0,0,1,14,36,104,262,405
2021/08/02,23821,50649,54071,64913,69251,83308,90356,64428,44283,17009,356,2539,5323,5601,5752,7161,5999,3146,2828,1941,0,0,0,0,1,14,36,104,262,405
2021/08/01,23821,50649,54071,64913,69251,83308,90356,64428,44283,17009,356,2539,5314,5597,5751,7159,5993,3146,2827,1941,0,0,0,0,1,14,36,104,262,405
2021/07/31,23821,50649,54071,64913,69251,83308,90356,64428,44283,17009,354,2538,5307,5594,5750,7155,5990,3145,2826,1941,0,0,0,0,1,14,36,104,262,405
2021/07/30,23821,50649,54071,64913,69251,83308,90356,64428,44283,17009,351,2538,5292,5584,5747,7154,5989,3144,2825,1941,0,0,0,0,1,14,36,104,262,405
2021/07/29,23821,50649,54071,64913,69251,83308,90356,64428,44283,17009,351,2537,5286,5577,5744,7153,5989,3144,2825,1940,0,0,0,0,1,14,36,104,262,405
2021/07/28,23821,50649,54071,64913,69251,83308,90356,64428,44283,17009,351,2536,5274,5565,5742,7150,5988,3143,2825,1940,0,0,0,0,1,14,36,104,262,405
2021/07/27,23821,50649,54071,64913,69251,83308,90356,64428,44283,17009,351,2533,5266,5555,5739,7149,5987,3143,2825,1940,0,0,0,0,1,14,36,104,262,405
2021/07/26,23821,50649,54071,64913,69251,83308,90356,64428,44283,17009,351,2532,5256,5545,5737,7145,5986,3140,2824,1940,0,0,0,0,1,14,36,104,262,405
