date,pop_m_<5,pop_w_<5,pop_m_5-14,pop_w_5-14,pop_m_15-24,pop_w_15-24,pop_m_25-34,pop_w_25-34,pop_m_35-44,pop_w_35-44,pop_m_45-54,pop_w_45-54,pop_m_55-64,pop_w_55-64,pop_m_65-74,pop_w_65-74,pop_m_75-84,pop_w_75-84,pop_m_>84,pop_w_>84,inf_m_<5,inf_w_<5,inf_m_5-14,inf_w_5-14,inf_m_15-24,inf_w_15-24,inf_m_25-34,inf_w_25-34,inf_m_35-44,inf_w_35-44,inf_m_45-54,inf_w_45-54,inf_m_55-64,inf_w_55-64,inf_m_65-74,inf_w_65-74,inf_m_75-84,inf_w_75-84,inf_m_>84,inf_w_>84,dea_m_<5,dea_w_<5,dea_m_5-14,dea_w_5-14,dea_m_15-24,dea_w_15-24,dea_m_25-34,dea_w_25-34,dea_m_35-44,dea_w_35-44,dea_m_45-54,dea_w_45-54,dea_m_55-64,dea_w_55-64,dea_m_65-74,dea_w_65-74,dea_m_75-84,dea_w_75-84,dea_m_>84,dea_w_>84
2022/06/15,12177,11644,26078,24571,28186,25885,33144,31769,34699,34552,41242,42066,44248,46108,30273,34155,18863,25420,5557,11452,2081,1902,17467,16471,16800,16820,17403,19429,17949,21670,17420,20664,15118,16348,7864,8435,4857,5714,1684,3567,0,0,0,0,1,0,1,1,4,1,22,17,64,31,166,74,331,209,314,393
2022/06/14,12177,11644,26078,24571,28186,25885,33144,31769,34699,34552,41242,42066,44248,46108,30273,34155,18863,25420,5557,11452,2081,1901,17463,16467,16793,16808,17390,19406,17939,21658,17410,20648,15108,16327,7853,8423,4852,5710,1683,3564,0,0,0,0,1,0,1,1,4,1,22,17,64,31,166,74,331,209,314,393
2022/06/13,12177,11644,26078,24571,28186,25885,33144,31769,34699,34552,41242,42066,44248,46108,30273,34155,18863,25420,5557,11452,2079,1901,17461,16460,16784,16803,17379,19397,17931,21639,17394,20633,15093,16307,7843,8414,4845,5698,1679,3560,0,0,0,0,1,0,1,1,4,1,22,17,64,31,166,74,331,209,314,393
2022/06/12,12177,11644,26078,24571,28186,25885,33144,31769,34699,34552,41242,42066,44248,46108,30273,34155,18863,25420,5557,11452,2079,1901,17457,16457,16780,16799,17369,19380,17925,21623,17388,20620,15086,16299,7840,8408,4842,5695,1676,3558,0,0,0,0,1,0,1,1,4,1,22,17,64,31,166,73,331,209,314,393
2022/06/11,12177,11644,26078,24571,28186,25885,33144,31769,34699,34552,41242,42066,44248,46108,30273,34155,18863,25420,5557,11452,2079,1899,17454,16454,16776,16792,17361,19372,17918,21616,17384,20609,15081,16292,7836,8404,4839,5690,1674,3556,0,0,0,0,1,0,1,1,4,1,22,17,64,31,166,73,331,209,314,393
2022/06/10,12177,11644,26078,24571,28186,25885,33144,31769,34699,34552,41242,42066,44248,46108,30273,34155,18863,25420,5557,11452,2079,1899,17453,16453,16772,16785,17355,19366,17909,21605,17380,20605,15072,16279,7828,8396,4837,5684,1674,3555,0,0,0,0,1,0,1,1,4,1,22,17,64,31,166,73,331,209,314,393
2022/06/09,12177,11644,26078,24571,28186,25885,33144,31769,34699,34552,41242,42066,44248,46108,30273,34155,18863,25420,5557,11452,2079,1899,17448,16452,16763,16778,17347,19353,17897,21597,17368,20592,15059,16260,7821,8389,4831,5677,1673,3553,0,0,0,0,1,0,1,1,4,1,22,17,64,31,165,73,331,209,314,393
2022/06/08,12177,11644,26078,24571,28186,25885,33144,31769,34699,34552,41242,42066,44248,46108,30273,34155,18863,25420,5557,11452,2078,1898,17441,16449,16755,16772,17338,19342,17885,21585,17361,20581,15045,16242,7815,8376,4826,5671,1672,3550,0,0,0,0,1,0,1,1,4,1,22,17,64,31,165,73,330,209,314,393
2022/06/07,12177,11644,26078,24571,28186,25885,33144,31769,34699,34552,41242,42066,44248,46108,30273,34155,18863,25420,5557,11452,2078,1898,17433,16436,16748,16755,17327,19329,17872,21569,17346,20558,15029,16220,7806,8363,4819,5662,1670,3548,0,0,0,0,1,0,1,1,4,1,22,17,64,31,165,73,330,209,314,393
2022/06/06,12177,11644,26078,24571,28186,25885,33144,31769,34699,34552,41242,42066,44248,46108,30273,34155,18863,25420,5557,11452,2078,1897,17433,16432,16745,16744,17321,19317,17863,21559,17336,20547,15017,16209,7796,8360,4816,5661,1669,3548,0,0,0,0,1,0,1,1,4,1,22,17,64,31,165,73,330,209,314,393
2022/06/05,12177,11644,26078,24571,28186,25885,33144,31769,34699,34552,41242,42066,44248,46108,30273,34155,18863,25420,5557,11452,2077,1897,17427,16429,16743,16740,17317,19307,17860,21552,17327,20539,15011,16197,7793,8357,4808,5657,1668,3547,0,0,0,0,1,0,1,1,4,1,22,17,64,31,165,73,330,209,314,393
2022/06/04,12177,11644,26078,24571,28186,25885,33144,31769,34699,34552,41242,42066,44248,46108,30273,34155,18863,25420,5557,11452,2077,1897,17427,16429,16741,16736,17315,19296,17856,21545,17322,20532,15004,16195,7787,8354,4805,5650,1668,3546,0,0,0,0,1,0,1,1,4,1,22,17,64,31,165,73,330,209,314,393
2022/06/03,12177,11644,26078,24571,28186,25885,33144,31769,34699,34552,41242,42066,44248,46108,30273,34155,18863,25420,5557,11452,2076,1897,17427,16427,16735,16728,17310,19293,17852,21539,17317,20522,14995,16179,7782,8347,4801,5644,1667,3544,0,0,0,0,1,0,1,1,4,1,22,17,64,31,165,73,330,209,314,393
2022/06/02,12177,11644,26078,24571,28186,25885,33144,31769,34699,34552,41242,42066,44248,46108,30273,34155,18863,25420,5557,11452,2076,1897,17425,16427,16727,16724,17305,19284,17841,21531,17303,20513,14987,16167,7775,8337,4797,5638,1667,3543,0,0,0,0,1,0,1,1,4,1,22,17,64,31,165,73,330,209,314,393
2022/06/01,12177,11644,26078,24571,28186,25885,33144,31769,34699,34552,41242,42066,44248,46108,30273,34155,18863,25420,5557,11452,2075,1896,17422,16427,16722,16717,17299,19275,17832,21518,17295,20506,14979,16152,7772,8335,4797,5634,1667,3541,0,0,0,0,1,0,1,1,4,1,22,17,63,31,165,73,330,209,314,393
2022/05/31,12177,11644,26078,24571,28186,25885,33144,31769,34699,34552,41242,42066,44248,46108,30273,34155,18863,25420,5557,11452,2075,1896,17415,16422,16717,16710,17286,19262,17821,21503,17287,20492,14971,16137,7762,8327,4787,5628,1666,3537,0,0,0,0,1,0,1,1,4,1,22,17,63,31,165,73,330,209,314,393
2022/05/30,12177,11644,26078,24571,28186,25885,33144,31769,34699,34552,41242,42066,44248,46108,30273,34155,18863,25420,5557,11452,2075,1896,17414,16421,16713,16707,17282,19256,17814,21492,17283,20485,14960,16124,7756,8312,4785,5618,1665,3533,0,0,0,0,1,0,1,1,4,1,22,17,63,31,165,73,330,209,314,393
2022/05/29,12177,11644,26078,24571,28186,25885,33144,31769,34699,34552,41242,42066,44248,46108,30273,34155,18863,25420,5557,11452,2075,1896,17413,16420,16711,16702,17278,19252,17809,21485,17280,20477,14954,16121,7752,8310,4784,5614,1665,3529,0,0,0,0,1,0,1,1,4,1,22,17,63,31,165,73,329,209,314,393
