date,pop_m_<5,pop_w_<5,pop_m_5-14,pop_w_5-14,pop_m_15-24,pop_w_15-24,pop_m_25-34,pop_w_25-34,pop_m_35-44,pop_w_35-44,pop_m_45-54,pop_w_45-54,pop_m_55-64,pop_w_55-64,pop_m_65-74,pop_w_65-74,pop_m_75-84,pop_w_75-84,pop_m_>84,pop_w_>84,inf_m_<5,inf_w_<5,inf_m_5-14,inf_w_5-14,inf_m_15-24,inf_w_15-24,inf_m_25-34,inf_w_25-34,inf_m_35-44,inf_w_35-44,inf_m_45-54,inf_w_45-54,inf_m_55-64,inf_w_55-64,inf_m_65-74,inf_w_65-74,inf_m_75-84,inf_w_75-84,inf_m_>84,inf_w_>84,dea_m_<5,dea_w_<5,dea_m_5-14,dea_w_5-14,dea_m_15-24,dea_w_15-24,dea_m_25-34,dea_w_25-34,dea_m_35-44,dea_w_35-44,dea_m_45-54,dea_w_45-54,dea_m_55-64,dea_w_55-64,dea_m_65-74,dea_w_65-74,dea_m_75-84,dea_w_75-84,dea_m_>84,dea_w_>84
2021/07/30,40378,38490,84889,80387,88882,82044,100110,96592,106987,107824,129415,131118,128091,129133,81990,91063,56332,71575,15479,30100,609,503,4814,4475,8543,7610,8076,7928,7712,8369,9433,10193,7903,7029,3571,3485,2608,3086,1007,2294,0,0,0,0,1,0,0,3,6,1,15,11,76,32,159,71,350,234,304,415
2021/07/29,40378,38490,84889,80387,88882,82044,100110,96592,106987,107824,129415,131118,128091,129133,81990,91063,56332,71575,15479,30100,609,502,4812,4474,8523,7594,8060,7919,7706,8369,9428,10192,7902,7026,3570,3485,2607,3085,1007,2294,0,0,0,0,1,0,0,3,6,1,15,11,76,32,159,71,350,234,304,415
2021/07/28,40378,38490,84889,80387,88882,82044,100110,96592,106987,107824,129415,131118,128091,129133,81990,91063,56332,71575,15479,30100,609,502,4810,4473,8508,7578,8055,7912,7705,8367,9426,10188,7898,7025,3569,3484,2607,3084,1007,2294,0,0,0,0,1,0,0,3,6,1,15,11,76,32,159,71,350,234,304,415
2021/07/27,40378,38490,84889,80387,88882,82044,100110,96592,106987,107824,129415,131118,128091,129133,81990,91063,56332,71575,15479,30100,609,502,4805,4473,8494,7564,8041,7905,7702,8364,9421,10186,7896,7022,3569,3484,2607,3084,1007,2293,0,0,0,0,1,0,0,3,6,1,15,11,76,32,159,71,350,234,304,415
2021/07/26,40378,38490,84889,80387,88882,82044,100110,96592,106987,107824,129415,131118,128091,129133,81990,91063,56332,71575,15479,30100,609,502,4802,4472,8474,7550,8036,7900,7697,8362,9420,10183,7896,7020,3569,3482,2607,3083,1007,2293,0,0,0,0,1,0,0,3,6,1,15,11,76,32,159,71,350,234,304,415
2021/07/25,40378,38490,84889,80387,88882,82044,100110,96592,106987,107824,129415,131118,128091,129133,81990,91063,56332,71575,15479,30100,609,502,4800,4471,8456,7540,8027,7895,7695,8362,9415,10180,7892,7019,3569,3482,2607,3082,1007,2293,0,0,0,0,1,0,0,3,6,1,15,11,76,32,159,71,350,234,304,415
2021/07/24,40378,38490,84889,80387,88882,82044,100110,96592,106987,107824,129415,131118,128091,129133,81990,91063,56332,71575,15479,30100,609,502,4795,4469,8447,7533,8023,7890,7693,8359,9414,10176,7889,7018,3568,3482,2607,3081,1007,2292,0,0,0,0,1,0,0,3,6,1,15,11,76,32,159,71,350,234,304,415
2021/07/23,40378,38490,84889,80387,88882,82044,100110,96592,106987,107824,129415,131118,128091,129133,81990,91063,56332,71575,15479,30100,609,502,4795,4465,8438,7525,8017,7887,7691,8355,9411,10175,7889,7018,3568,3482,2607,3080,1006,2292,0,0,0,0,1,0,0,3,6,1,15,11,76,32,159,71,350,234,304,415
2021/07/22,40378,38490,84889,80387,88882,82044,100110,96592,106987,107824,129415,131118,128091,129133,81990,91063,56332,71575,15479,30100,609,502,4792,4458,8429,7514,8016,7885,7687,8350,9409,10173,7889,7017,3567,3482,2606,3080,1006,2292,0,0,0,0,1,0,0,3,6,1,15,11,76,32,159,71,350,234,304,415
2021/07/21,40378,38490,84889,80387,88882,82044,100110,96592,106987,107824,129415,131118,128091,129133,81990,91063,56332,71575,15479,30100,609,502,4792,4458,8419,7509,8013,7881,7686,8349,9407,10173,7887,7016,3567,3482,2606,3080,1006,2292,0,0,0,0,1,0,0,3,6,1,15,11,76,32,159,71,350,234,304,415
2021/07/20,40378,38490,84889,80387,88882,82044,100110,96592,106987,107824,129415,131118,128091,129133,81990,91063,56332,71575,15479,30100,609,502,4791,4455,8410,7503,8010,7877,7682,8349,9405,10168,7886,7016,3566,3482,2606,3080,1006,2292,0,0,0,0,1,0,0,3,6,1,15,11,76,32,159,71,350,234,304,415
2021/07/19,40378,38490,84889,80387,88882,82044,100110,96592,106987,107824,129415,131118,128091,129133,81990,91063,56332,71575,15479,30100,608,502,4790,4455,8406,7495,8007,7876,7680,8349,9402,10163,7885,7016,3566,3482,2605,3080,1006,2292,0,0,0,0,1,0,0,3,6,1,15,11,76,32,159,71,350,234,304,415
2021/07/18,40378,38490,84889,80387,88882,82044,100110,96592,106987,107824,129415,131118,128091,129133,81990,91063,56332,71575,15479,30100,608,502,4789,4454,8398,7491,8000,7873,7677,8347,9397,10161,7884,7015,3565,3482,2604,3079,1006,2292,0,0,0,0,1,0,0,3,6,1,15,11,76,32,159,71,350,234,304,415
2021/07/17,40378,38490,84889,80387,88882,82044,100110,96592,106987,107824,129415,131118,128091,129133,81990,91063,56332,71575,15479,30100,608,502,4789,4453,8391,7485,7996,7870,7677,8347,9396,10158,7883,7015,3564,3481,2604,3079,1006,2292,0,0,0,0,1,0,0,3,6,1,15,11,76,32,159,71,350,234,304,415
2021/07/16,40378,38490,84889,80387,88882,82044,100110,96592,106987,107824,129415,131118,128091,129133,81990,91063,56332,71575,15479,30100,608,502,4787,4453,8383,7477,7996,7866,7676,8346,9392,10156,7881,7014,3564,3480,2603,3078,1006,2292,0,0,0,0,1,0,0,3,6,1,15,11,76,32,159,71,350,234,304,415
2021/07/15,40378,38490,84889,80387,88882,82044,100110,96592,106987,107824,129415,131118,128091,129133,81990,91063,56332,71575,15479,30100,607,502,4787,4450,8372,7468,7990,7864,7674,8343,9392,10154,7879,7012,3563,3479,2602,3078,1006,2292,0,0,0,0,1,0,0,3,6,1,14,11,76,32,159,71,350,234,304,415
2021/07/14,40378,38490,84889,80387,88882,82044,100110,96592,106987,107824,129415,131118,128091,129133,81990,91063,56332,71575,15479,30100,607,502,4786,4448,8364,7463,7985,7859,7673,8340,9389,10152,7877,7011,3563,3478,2602,3078,1006,2292,0,0,0,0,1,0,0,3,6,1,14,11,76,32,159,71,350,234,304,415
2021/07/13,40378,38490,84889,80387,88882,82044,100110,96592,106987,107824,129415,131118,128091,129133,81990,91063,56332,71575,15479,30100,607,502,4785,4446,8352,7451,7982,7855,7671,8337,9389,10151,7877,7008,3561,3475,2601,3078,1006,2292,0,0,0,0,1,0,0,3,6,1,14,11,76,32,159,71,349,234,304,415
2021/07/12,40378,38490,84889,80387,88882,82044,100110,96592,106987,107824,129415,131118,128091,129133,81990,91063,56332,71575,15479,30100,607,502,4784,4445,8348,7446,7977,7852,7666,8332,9388,10148,7876,7008,3559,3473,2600,3078,1006,2292,0,0,0,0,1,0,0,3,6,1,14,11,76,32,159,71,349,234,304,415
2021/07/11,40378,38490,84889,80387,88882,82044,100110,96592,106987,107824,129415,131118,128091,129133,81990,91063,56332,71575,15479,30100,607,502,4784,4444,8341,7435,7975,7848,7664,8330,9387,10146,7875,7008,3559,3472,2598,3078,1006,2292,0,0,0,0,1,0,0,3,6,1,14,11,76,32,159,71,349,234,304,415
