date,pop_m_<5,pop_w_<5,pop_m_5-14,pop_w_5-14,pop_m_15-24,pop_w_15-24,pop_m_25-34,pop_w_25-34,pop_m_35-44,pop_w_35-44,pop_m_45-54,pop_w_45-54,pop_m_55-64,pop_w_55-64,pop_m_65-74,pop_w_65-74,pop_m_75-84,pop_w_75-84,pop_m_>84,pop_w_>84,inf_m_<5,inf_w_<5,inf_m_5-14,inf_w_5-14,inf_m_15-24,inf_w_15-24,inf_m_25-34,inf_w_25-34,inf_m_35-44,inf_w_35-44,inf_m_45-54,inf_w_45-54,inf_m_55-64,inf_w_55-64,inf_m_65-74,inf_w_65-74,inf_m_75-84,inf_w_75-84,inf_m_>84,inf_w_>84,dea_m_<5,dea_w_<5,dea_m_5-14,dea_w_5-14,dea_m_15-24,dea_w_15-24,dea_m_25-34,dea_w_25-34,dea_m_35-44,dea_w_35-44,dea_m_45-54,dea_w_45-54,dea_m_55-64,dea_w_55-64,dea_m_65-74,dea_w_65-74,dea_m_75-84,dea_w_75-84,dea_m_>84,dea_w_>84
2022/05/29,39545,37443,76807,72543,82565,77078,102103,95192,98796,94565,108391,107229,110354,110656,69150,76056,42289,57073,12755,25018,5786,5347,55861,51710,55493,56583,61801,64994,59545,66111,54638,60842,44782,45910,20487,21062,11255,13036,3788,7255,0,0,0,1,3,0,5,4,15,4,54,19,165,50,347,158,633,419,619,810
2022/05/28,39545,37443,76807,72543,82565,77078,102103,95192,98796,94565,108391,107229,110354,110656,69150,76056,42289,57073,12755,25018,5786,5347,55858,51705,55480,56574,61787,64976,59531,66092,54621,60821,44763,45889,20473,21047,11251,13031,3787,7252,0,0,0,1,3,0,5,4,15,4,54,19,165,50,347,158,633,419,619,810
2022/05/27,39545,37443,76807,72543,82565,77078,102103,95192,98796,94565,108391,107229,110354,110656,69150,76056,42289,57073,12755,25018,5784,5347,55850,51698,55466,56560,61761,64951,59514,66074,54607,60809,44742,45869,20458,21034,11247,13026,3782,7250,0,0,0,1,3,0,5,4,15,4,54,19,165,50,347,158,633,419,619,810
2022/05/26,39545,37443,76807,72543,82565,77078,102103,95192,98796,94565,108391,107229,110354,110656,69150,76056,42289,57073,12755,25018,5783,5345,55845,51692,55458,56543,61746,64936,59505,66052,54595,60797,44730,45849,20453,21017,11241,13020,3782,7250,0,0,0,1,3,0,5,4,15,4,54,19,165,50,347,158,633,419,619,810
2022/05/25,39545,37443,76807,72543,82565,77078,102103,95192,98796,94565,108391,107229,110354,110656,69150,76056,42289,57073,12755,25018,5780,5344,55837,51687,55448,56527,61726,64909,59491,66039,54578,60783,44712,45836,20439,21007,11234,13011,3781,7248,0,0,0,1,3,0,5,4,15,4,54,19,165,49,347,158,633,419,619,810
2022/05/24,39545,37443,76807,72543,82565,77078,102103,95192,98796,94565,108391,107229,110354,110656,69150,76056,42289,57073,12755,25018,5773,5338,55826,51677,55433,56508,61702,64876,59460,66007,54555,60762,44680,45797,20419,20984,11221,12998,3775,7246,0,0,0,1,3,0,5,4,15,4,54,19,165,49,347,158,633,419,619,810
2022/05/23,39545,37443,76807,72543,82565,77078,102103,95192,98796,94565,108391,107229,110354,110656,69150,76056,42289,57073,12755,25018,5770,5338,55798,51653,55411,56471,61683,64847,59427,65970,54519,60726,44639,45752,20401,20957,11207,12986,3771,7237,0,0,0,1,3,0,5,4,15,4,54,19,165,49,347,158,632,419,619,810
2022/05/22,39545,37443,76807,72543,82565,77078,102103,95192,98796,94565,108391,107229,110354,110656,69150,76056,42289,57073,12755,25018,5768,5336,55791,51644,55400,56466,61663,64829,59414,65952,54495,60698,44619,45733,20388,20944,11201,12974,3770,7234,0,0,0,1,3,0,5,4,15,4,54,19,165,49,347,158,632,419,619,810
2022/05/21,39545,37443,76807,72543,82565,77078,102103,95192,98796,94565,108391,107229,110354,110656,69150,76056,42289,57073,12755,25018,5767,5334,55782,51636,55392,56453,61644,64811,59396,65936,54485,60675,44612,45712,20373,20929,11192,12967,3769,7232,0,0,0,1,3,0,5,4,15,4,54,19,165,49,347,158,632,419,619,810
2022/05/20,39545,37443,76807,72543,82565,77078,102103,95192,98796,94565,108391,107229,110354,110656,69150,76056,42289,57073,12755,25018,5765,5332,55777,51630,55383,56438,61632,64794,59383,65922,54466,60655,44593,45692,20347,20912,11180,12951,3768,7230,0,0,0,1,3,0,5,4,15,4,54,19,165,49,347,158,632,419,619,810
2022/05/19,39545,37443,76807,72543,82565,77078,102103,95192,98796,94565,108391,107229,110354,110656,69150,76056,42289,57073,12755,25018,5764,5330,55770,51620,55365,56410,61608,64762,59354,65890,54442,60614,44563,45667,20329,20884,11167,12934,3767,7227,0,0,0,1,3,0,5,4,15,4,54,19,165,49,347,158,632,419,619,810
2022/05/18,39545,37443,76807,72543,82565,77078,102103,95192,98796,94565,108391,107229,110354,110656,69150,76056,42289,57073,12755,25018,5761,5329,55743,51586,55347,56379,61582,64726,59324,65854,54401,60574,44527,45624,20308,20855,11155,12914,3764,7222,0,0,0,1,3,0,5,4,15,4,54,19,164,49,347,158,632,419,619,810
2022/05/17,39545,37443,76807,72543,82565,77078,102103,95192,98796,94565,108391,107229,110354,110656,69150,76056,42289,57073,12755,25018,5760,5326,55699,51551,55320,56342,61545,64688,59301,65832,54369,60538,44497,45582,20280,20819,11139,12893,3760,7214,0,0,0,1,3,0,5,4,15,4,54,19,164,49,347,158,632,419,618,810
2022/05/16,39545,37443,76807,72543,82565,77078,102103,95192,98796,94565,108391,107229,110354,110656,69150,76056,42289,57073,12755,25018,5758,5321,55678,51525,55300,56313,61521,64649,59260,65779,54320,60481,44457,45537,20255,20785,11121,12871,3757,7205,0,0,0,1,3,0,5,4,15,4,54,19,164,49,347,158,632,419,618,810
2022/05/15,39545,37443,76807,72543,82565,77078,102103,95192,98796,94565,108391,107229,110354,110656,69150,76056,42289,57073,12755,25018,5756,5321,55661,51510,55288,56293,61493,64622,59241,65757,54300,60451,44441,45507,20243,20760,11109,12863,3754,7198,0,0,0,1,3,0,5,4,15,4,54,19,164,49,347,158,631,419,618,810
2022/05/14,39545,37443,76807,72543,82565,77078,102103,95192,98796,94565,108391,107229,110354,110656,69150,76056,42289,57073,12755,25018,5755,5320,55648,51496,55272,56261,61459,64590,59226,65734,54275,60427,44406,45469,20222,20734,11103,12852,3753,7193,0,0,0,1,3,0,5,4,15,4,54,19,164,49,347,157,631,419,618,810
2022/05/13,39545,37443,76807,72543,82565,77078,102103,95192,98796,94565,108391,107229,110354,110656,69150,76056,42289,57073,12755,25018,5755,5320,55630,51480,55251,56234,61433,64554,59190,65691,54253,60385,44374,45424,20196,20697,11088,12833,3749,7186,0,0,0,1,3,0,5,4,15,4,54,19,164,49,347,157,631,419,618,810
2022/05/12,39545,37443,76807,72543,82565,77078,102103,95192,98796,94565,108391,107229,110354,110656,69150,76056,42289,57073,12755,25018,5754,5318,55607,51458,55231,56205,61397,64503,59148,65638,54211,60330,44322,45363,20164,20665,11072,12820,3748,7178,0,0,0,1,3,0,5,4,15,4,54,19,164,49,347,157,631,419,618,810
2022/05/11,39545,37443,76807,72543,82565,77078,102103,95192,98796,94565,108391,107229,110354,110656,69150,76056,42289,57073,12755,25018,5752,5314,55541,51411,55179,56150,61352,64445,59110,65578,54174,60272,44274,45294,20146,20643,11048,12798,3741,7173,0,0,0,1,3,0,5,4,15,4,54,19,164,49,347,157,630,419,618,810
2022/05/10,39545,37443,76807,72543,82565,77078,102103,95192,98796,94565,108391,107229,110354,110656,69150,76056,42289,57073,12755,25018,5746,5312,55516,51384,55148,56106,61313,64384,59065,65530,54126,60206,44234,45235,20113,20610,11022,12770,3735,7167,0,0,0,1,3,0,5,4,15,4,54,19,164,49,347,157,630,419,617,810
2022/05/09,39545,37443,76807,72543,82565,77078,102103,95192,98796,94565,108391,107229,110354,110656,69150,76056,42289,57073,12755,25018,5745,5306,55485,51347,55110,56046,61246,64311,59004,65469,54072,60135,44171,45180,20070,20563,10996,12735,3728,7157,0,0,0,1,3,0,5,4,15,4,54,19,164,48,347,157,630,419,617,810
2022/05/08,39545,37443,76807,72543,82565,77078,102103,95192,98796,94565,108391,107229,110354,110656,69150,76056,42289,57073,12755,25018,5741,5303,55465,51328,55095,56013,61206,64265,58974,65428,54028,60084,44141,45139,20053,20533,10980,12719,3726,7152,0,0,0,1,3,0,5,4,15,4,54,19,164,48,347,157,630,419,617,810
2022/05/07,39545,37443,76807,72543,82565,77078,102103,95192,98796,94565,108391,107229,110354,110656,69150,76056,42289,57073,12755,25018,5736,5301,55449,51307,55076,55987,61173,64226,58938,65382,53990,60046,44102,45089,20024,20509,10970,12702,3723,7145,0,0,0,1,3,0,5,4,15,4,54,19,164,48,347,156,630,419,617,810
2022/05/06,39545,37443,76807,72543,82565,77078,102103,95192,98796,94565,108391,107229,110354,110656,69150,76056,42289,57073,12755,25018,5735,5299,55422,51284,55048,55958,61145,64171,58895,65330,53961,59999,44056,45034,19985,20483,10952,12678,3719,7140,0,0,0,1,3,0,5,4,15,4,54,19,164,48,347,156,630,419,616,809
2022/05/05,39545,37443,76807,72543,82565,77078,102103,95192,98796,94565,108391,107229,110354,110656,69150,76056,42289,57073,12755,25018,5730,5293,55380,51252,55008,55925,61091,64113,58840,65263,53891,59942,44010,44964,19948,20447,10937,12650,3713,7126,0,0,0,1,3,0,5,4,15,4,54,19,164,48,347,156,630,419,616,809
2022/05/04,39545,37443,76807,72543,82565,77078,102103,95192,98796,94565,108391,107229,110354,110656,69150,76056,42289,57073,12755,25018,5719,5287,55348,51210,54976,55876,61036,64039,58784,65184,53829,59886,43954,44896,19912,20411,10905,12621,3705,7114,0,0,0,1,3,0,5,4,15,4,54,19,164,48,347,156,630,419,616,809
2022/05/03,39545,37443,76807,72543,82565,77078,102103,95192,98796,94565,108391,107229,110354,110656,69150,76056,42289,57073,12755,25018,5710,5285,55314,51178,54947,55839,60969,63955,58722,65130,53770,59802,43902,44828,19885,20372,10889,12590,3696,7103,0,0,0,1,3,0,5,4,14,4,54,19,164,48,347,156,630,419,616,808
2022/05/02,39545,37443,76807,72543,82565,77078,102103,95192,98796,94565,108391,107229,110354,110656,69150,76056,42289,57073,12755,25018,5705,5279,55228,51104,54900,55774,60889,63870,58643,65038,53707,59682,43818,44730,19838,20330,10859,12559,3691,7089,0,0,0,1,3,0,5,4,14,4,54,19,164,48,346,156,629,419,616,808
2022/05/01,39545,37443,76807,72543,82565,77078,102103,95192,98796,94565,108391,107229,110354,110656,69150,76056,42289,57073,12755,25018,5702,5275,55169,51047,54855,55742,60842,63829,58600,64970,53659,59630,43772,44654,19805,20295,10843,12536,3684,7082,0,0,0,1,3,0,5,4,14,4,54,19,164,48,346,156,629,417,616,808
2022/04/30,39545,37443,76807,72543,82565,77078,102103,95192,98796,94565,108391,107229,110354,110656,69150,76056,42289,57073,12755,25018,5698,5270,55155,51024,54838,55725,60814,63792,58561,64937,53630,59591,43739,44603,19787,20277,10832,12524,3680,7075,0,0,0,1,3,0,5,4,14,4,54,19,164,48,346,156,629,417,616,808
2022/04/29,39545,37443,76807,72543,82565,77078,102103,95192,98796,94565,108391,107229,110354,110656,69150,76056,42289,57073,12755,25018,5694,5267,55129,50983,54810,55689,60763,63737,58519,64886,53579,59544,43694,44539,19762,20246,10806,12512,3674,7069,0,0,0,1,3,0,5,4,14,4,54,19,164,48,346,156,629,417,616,808
2022/04/28,39545,37443,76807,72543,82565,77078,102103,95192,98796,94565,108391,107229,110354,110656,69150,76056,42289,57073,12755,25018,5684,5260,55096,50944,54785,55646,60682,63664,58468,64811,53523,59457,43641,44458,19733,20212,10777,12488,3671,7064,0,0,0,1,3,0,5,4,14,4,54,19,164,48,346,156,628,417,615,808
2022/04/27,39545,37443,76807,72543,82565,77078,102103,95192,98796,94565,108391,107229,110354,110656,69150,76056,42289,57073,12755,25018,5677,5256,55032,50878,54734,55590,60620,63592,58400,64734,53457,59386,43579,44387,19707,20178,10757,12464,3665,7056,0,0,0,1,3,0,5,4,14,4,54,19,164,48,346,156,627,417,614,808
2022/04/26,39545,37443,76807,72543,82565,77078,102103,95192,98796,94565,108391,107229,110354,110656,69150,76056,42289,57073,12755,25018,5672,5248,54999,50830,54692,55535,60549,63514,58328,64656,53395,59297,43518,44318,19667,20116,10738,12441,3651,7041,0,0,0,1,3,0,5,4,14,4,54,19,164,48,346,156,627,416,614,808
2022/04/25,39545,37443,76807,72543,82565,77078,102103,95192,98796,94565,108391,107229,110354,110656,69150,76056,42289,57073,12755,25018,5661,5238,54930,50778,54637,55466,60446,63401,58202,64549,53324,59193,43451,44210,19626,20061,10712,12402,3640,7025,0,0,0,1,3,0,5,4,14,4,54,19,164,48,346,156,626,416,614,808
2022/04/24,39545,37443,76807,72543,82565,77078,102103,95192,98796,94565,108391,107229,110354,110656,69150,76056,42289,57073,12755,25018,5658,5233,54900,50744,54599,55429,60396,63334,58147,64481,53272,59123,43393,44153,19604,20025,10687,12380,3627,7014,0,0,0,1,3,0,5,4,14,4,54,19,164,48,346,156,625,416,614,807
