date,pop_m_<5,pop_w_<5,pop_m_5-14,pop_w_5-14,pop_m_15-24,pop_w_15-24,pop_m_25-34,pop_w_25-34,pop_m_35-44,pop_w_35-44,pop_m_45-54,pop_w_45-54,pop_m_55-64,pop_w_55-64,pop_m_65-74,pop_w_65-74,pop_m_75-84,pop_w_75-84,pop_m_>84,pop_w_>84,inf_m_<5,inf_w_<5,inf_m_5-14,inf_w_5-14,inf_m_15-24,inf_w_15-24,inf_m_25-34,inf_w_25-34,inf_m_35-44,inf_w_35-44,inf_m_45-54,inf_w_45-54,inf_m_55-64,inf_w_55-64,inf_m_65-74,inf_w_65-74,inf_m_75-84,inf_w_75-84,inf_m_>84,inf_w_>84,dea_m_<5,dea_w_<5,dea_m_5-14,dea_w_5-14,dea_m_15-24,dea_w_15-24,dea_m_25-34,dea_w_25-34,dea_m_35-44,dea_w_35-44,dea_m_45-54,dea_w_45-54,dea_m_55-64,dea_w_55-64,dea_m_65-74,dea_w_65-74,dea_m_75-84,dea_w_75-84,dea_m_>84,dea_w_>84
2021/08/02,14592,13852,27398,26181,30972,28970,38346,37207,37302,36919,40160,41236,38626,41343,25650,29975,16672,21963,4633,8713,264,219,2148,1953,4326,3911,4128,4057,3729,3784,4218,4679,3468,3318,1563,1558,1091,1344,445,939,0,0,0,0,0,0,1,0,2,1,5,3,25,11,47,25,140,70,113,154
2021/08/01,14592,13852,27398,26181,30972,28970,38346,37207,37302,36919,40160,41236,38626,41343,25650,29975,16672,21963,4633,8713,264,219,2148,1953,4325,3905,4125,4052,3724,3781,4217,4678,3467,3318,1562,1558,1090,1344,445,939,0,0,0,0,0,0,1,0,2,1,5,3,25,11,47,25,140,70,113,154
2021/07/31,14592,13852,27398,26181,30972,28970,38346,37207,37302,36919,40160,41236,38626,41343,25650,29975,16672,21963,4633,8713,264,219,2146,1949,4323,3901,4123,4052,3721,3780,4215,4677,3467,3317,1562,1558,1089,1344,445,939,0,0,0,0,0,0,1,0,2,1,5,3,25,11,47,25,140,70,113,154
2021/07/30,14592,13852,27398,26181,30972,28970,38346,37207,37302,36919,40160,41236,38626,41343,25650,29975,16672,21963,4633,8713,264,219,2143,1947,4318,3897,4120,4047,3717,3778,4211,4674,3466,3316,1561,1557,1088,1343,445,939,0,0,0,0,0,0,1,0,2,1,5,3,25,11,47,25,140,70,113,154
2021/07/29,14592,13852,27398,26181,30972,28970,38346,37207,37302,36919,40160,41236,38626,41343,25650,29975,16672,21963,4633,8713,264,219,2143,1945,4312,3892,4112,4042,3715,3775,4210,4669,3464,3316,1560,1557,1088,1343,445,939,0,0,0,0,0,0,1,0,2,1,5,3,25,11,47,25,140,70,113,154
2021/07/28,14592,13852,27398,26181,30972,28970,38346,37207,37302,36919,40160,41236,38626,41343,25650,29975,16672,21963,4633,8713,264,218,2142,1943,4296,3881,4104,4037,3710,3774,4209,4667,3463,3316,1560,1557,1088,1343,445,939,0,0,0,0,0,0,1,0,2,1,5,3,25,11,47,25,140,70,113,154
2021/07/27,14592,13852,27398,26181,30972,28970,38346,37207,37302,36919,40160,41236,38626,41343,25650,29975,16672,21963,4633,8713,264,218,2142,1941,4288,3874,4100,4032,3708,3774,4208,4666,3463,3315,1560,1555,1088,1343,445,939,0,0,0,0,0,0,1,0,2,1,5,3,25,11,47,25,140,70,113,154
2021/07/26,14592,13852,27398,26181,30972,28970,38346,37207,37302,36919,40160,41236,38626,41343,25650,29975,16672,21963,4633,8713,264,217,2141,1941,4277,3867,4092,4029,3705,3772,4208,4663,3462,3315,1560,1554,1088,1343,445,939,0,0,0,0,0,0,1,0,2,1,5,3,25,11,47,25,140,70,113,154
2021/07/25,14592,13852,27398,26181,30972,28970,38346,37207,37302,36919,40160,41236,38626,41343,25650,29975,16672,21963,4633,8713,264,217,2140,1940,4261,3857,4083,4022,3700,3771,4206,4659,3459,3315,1560,1554,1086,1342,445,939,0,0,0,0,0,0,1,0,2,1,5,3,25,11,47,25,140,70,113,154
2021/07/24,14592,13852,27398,26181,30972,28970,38346,37207,37302,36919,40160,41236,38626,41343,25650,29975,16672,21963,4633,8713,264,217,2138,1940,4258,3851,4080,4020,3698,3770,4205,4658,3459,3315,1560,1554,1085,1342,445,939,0,0,0,0,0,0,1,0,2,1,5,3,25,11,47,25,140,70,112,154
