date,pop_<5,pop_5-14,pop_15-24,pop_25-34,pop_35-44,pop_45-54,pop_55-64,pop_65-74,pop_75-84,pop_>84,inf_<5,inf_5-14,inf_15-24,inf_25-34,inf_35-44,inf_45-54,inf_55-64,inf_65-74,inf_75-84,inf_>84,dea_<5,dea_5-14,dea_15-24,dea_25-34,dea_35-44,dea_45-54,dea_55-64,dea_65-74,dea_75-84,dea_>84
2022/08/03,56166,111090,126273,163636,160997,183249,187276,129216,93364,35810,11109,73080,81922,101521,98901,93116,72078,35557,23657,11691,0,1,2,6,12,44,195,458,1143,1578
2022/08/02,56166,111090,126273,163636,160997,183249,187276,129216,93364,35810,11087,73052,81856,101366,98761,93010,71975,35507,23620,11674,0,1,2,6,12,44,195,458,1143,1578
2022/08/01,56166,111090,126273,163636,160997,183249,187276,129216,93364,35810,11072,73017,81782,101197,98614,92851,71834,35432,23571,11651,0,1,2,6,12,44,194,458,1143,1578
2022/07/31,56166,111090,126273,163636,160997,183249,187276,129216,93364,35810,11066,73000,81706,101075,98484,92727,71706,35394,23533,11625,0,1,2,6,12,43,194,458,1143,1578
2022/07/30,56166,111090,126273,163636,160997,183249,187276,129216,93364,35810,11056,72988,81685,101012,98436,92682,71670,35378,23514,11613,0,1,2,6,12,43,194,458,1141,1577
2022/07/29,56166,111090,126273,163636,160997,183249,187276,129216,93364,35810,11039,72961,81622,100895,98338,92573,71577,35333,23452,11605,0,1,2,6,12,43,194,458,1141,1577
2022/07/28,56166,111090,126273,163636,160997,183249,187276,129216,93364,35810,11027,72939,81565,100758,98211,92441,71438,35250,23394,11584,0,1,2,6,12,43,194,458,1141,1577
2022/07/27,56166,111090,126273,163636,160997,183249,187276,129216,93364,35810,11016,72914,81483,100592,98081,92267,71303,35172,23332,11569,0,1,2,6,12,43,194,458,1141,1576
2022/07/26,56166,111090,126273,163636,160997,183249,187276,129216,93364,35810,11004,72882,81393,100388,97935,92110,71151,35076,23274,11541,0,1,2,6,12,43,194,457,1141,1574
2022/07/25,56166,111090,126273,163636,160997,183249,187276,129216,93364,35810,10987,72827,81268,100133,97733,91872,70928,34979,23217,11508,0,1,2,6,12,43,194,456,1140,1574
2022/07/24,56166,111090,126273,163636,160997,183249,187276,129216,93364,35810,10976,72797,81185,99964,97592,91667,70792,34900,23152,11480,0,1,2,6,12,43,193,456,1140,1574
2022/07/23,56166,111090,126273,163636,160997,183249,187276,129216,93364,35810,10961,72779,81136,99871,97486,91593,70715,34853,23129,11471,0,1,2,6,12,43,192,456,1139,1573
2022/07/22,56166,111090,126273,163636,160997,183249,187276,129216,93364,35810,10943,72747,81049,99712,97328,91420,70540,34766,23051,11445,0,1,2,6,12,43,192,456,1139,1573
2022/07/21,56166,111090,126273,163636,160997,183249,187276,129216,93364,35810,10921,72713,80939,99467,97138,91213,70352,34663,22979,11417,0,1,2,6,12,43,192,456,1139,1572
2022/07/20,56166,111090,126273,163636,160997,183249,187276,129216,93364,35810,10900,72676,80798,99210,96975,90986,70176,34559,22904,11400,0,1,2,6,12,43,192,456,1139,1571
2022/07/19,56166,111090,126273,163636,160997,183249,187276,129216,93364,35810,10877,72646,80661,98912,96754,90728,69957,34430,22815,11372,0,1,2,6,12,43,192,456,1139,1571
2022/07/18,56166,111090,126273,163636,160997,183249,187276,129216,93364,35810,10856,72604,80489,98538,96445,90366,69669,34251,22718,11333,0,1,2,6,12,43,192,456,1138,1571
