date,pop_m_<5,pop_w_<5,pop_m_5-14,pop_w_5-14,pop_m_15-24,pop_w_15-24,pop_m_25-34,pop_w_25-34,pop_m_35-44,pop_w_35-44,pop_m_45-54,pop_w_45-54,pop_m_55-64,pop_w_55-64,pop_m_65-74,pop_w_65-74,pop_m_75-84,pop_w_75-84,pop_m_>84,pop_w_>84,inf_m_<5,inf_w_<5,inf_m_5-14,inf_w_5-14,inf_m_15-24,inf_w_15-24,inf_m_25-34,inf_w_25-34,inf_m_35-44,inf_w_35-44,inf_m_45-54,inf_w_45-54,inf_m_55-64,inf_w_55-64,inf_m_65-74,inf_w_65-74,inf_m_75-84,inf_w_75-84,inf_m_>84,inf_w_>84,dea_m_<5,dea_w_<5,dea_m_5-14,dea_w_5-14,dea_m_15-24,dea_w_15-24,dea_m_25-34,dea_w_25-34,dea_m_35-44,dea_w_35-44,dea_m_45-54,dea_w_45-54,dea_m_55-64,dea_w_55-64,dea_m_65-74,dea_w_65-74,dea_m_75-84,dea_w_75-84,dea_m_>84,dea_w_>84
2021/11/14,28897,27269,57250,53840,65307,60966,85040,78596,81952,79045,92499,90750,93105,94171,60672,68544,39776,53588,11652,24158,986,963,5488,5090,8683,8203,9269,9123,8291,8988,9198,10099,7387,6876,3786,3719,2799,3554,1161,3152,0,0,1,0,1,0,2,0,4,1,22,8,76,41,194,111,428,330,379,636
2021/11/13,28897,27269,57250,53840,65307,60966,85040,78596,81952,79045,92499,90750,93105,94171,60672,68544,39776,53588,11652,24158,980,954,5423,5036,8601,8128,9185,9031,8196,8890,9112,10016,7324,6829,3763,3687,2787,3537,1158,3147,0,0,1,0,1,0,2,0,4,1,22,8,75,41,194,111,428,328,379,635
2021/11/12,28897,27269,57250,53840,65307,60966,85040,78596,81952,79045,92499,90750,93105,94171,60672,68544,39776,53588,11652,24158,969,943,5358,4952,8503,8027,9082,8925,8099,8777,9018,9916,7255,6761,3721,3656,2775,3517,1157,3141,0,0,1,0,1,0,2,0,4,1,22,8,75,41,194,111,426,327,379,634
2021/11/11,28897,27269,57250,53840,65307,60966,85040,78596,81952,79045,92499,90750,93105,94171,60672,68544,39776,53588,11652,24158,958,931,5293,4876,8424,7930,8964,8826,7992,8647,8930,9808,7193,6680,3680,3617,2754,3496,1154,3136,0,0,1,0,1,0,2,0,4,1,22,8,75,41,194,111,426,325,377,633
2021/11/10,28897,27269,57250,53840,65307,60966,85040,78596,81952,79045,92499,90750,93105,94171,60672,68544,39776,53588,11652,24158,952,923,5247,4835,8351,7850,8880,8735,7919,8577,8842,9730,7123,6627,3655,3588,2743,3478,1153,3128,0,0,1,0,1,0,2,0,4,1,22,8,75,41,193,111,425,325,375,633
2021/11/09,28897,27269,57250,53840,65307,60966,85040,78596,81952,79045,92499,90750,93105,94171,60672,68544,39776,53588,11652,24158,937,909,5156,4761,8231,7739,8754,8632,7800,8453,8737,9623,7035,6553,3617,3546,2724,3451,1151,3119,0,0,1,0,1,0,2,0,4,1,22,8,75,41,193,111,425,325,375,632
2021/11/08,28897,27269,57250,53840,65307,60966,85040,78596,81952,79045,92499,90750,93105,94171,60672,68544,39776,53588,11652,24158,925,905,4960,4592,8100,7619,8639,8535,7723,8354,8661,9537,6980,6491,3584,3524,2704,3425,1149,3117,0,0,1,0,1,0,2,0,4,1,22,8,75,41,192,110,425,325,375,632
2021/11/07,28897,27269,57250,53840,65307,60966,85040,78596,81952,79045,92499,90750,93105,94171,60672,68544,39776,53588,11652,24158,913,894,4908,4544,8043,7567,8582,8476,7661,8292,8615,9488,6947,6451,3555,3491,2682,3404,1144,3109,0,0,1,0,1,0,2,0,4,1,22,8,75,41,191,109,423,323,375,632
2021/11/06,28897,27269,57250,53840,65307,60966,85040,78596,81952,79045,92499,90750,93105,94171,60672,68544,39776,53588,11652,24158,900,881,4837,4459,7936,7456,8460,8367,7565,8180,8531,9375,6876,6397,3509,3457,2660,3380,1142,3095,0,0,1,0,1,0,2,0,4,1,22,8,75,41,190,109,422,322,373,632
2021/11/05,28897,27269,57250,53840,65307,60966,85040,78596,81952,79045,92499,90750,93105,94171,60672,68544,39776,53588,11652,24158,895,881,4820,4447,7870,7411,8414,8325,7526,8148,8495,9342,6846,6368,3489,3444,2652,3370,1140,3090,0,0,1,0,1,0,2,0,3,1,22,8,75,40,190,109,422,322,373,632
2021/11/04,28897,27269,57250,53840,65307,60966,85040,78596,81952,79045,92499,90750,93105,94171,60672,68544,39776,53588,11652,24158,883,873,4750,4374,7765,7310,8316,8228,7433,8036,8406,9244,6779,6316,3451,3394,2633,3347,1139,3085,0,0,1,0,1,0,2,0,3,1,22,8,75,40,190,109,422,321,372,630
2021/11/03,28897,27269,57250,53840,65307,60966,85040,78596,81952,79045,92499,90750,93105,94171,60672,68544,39776,53588,11652,24158,879,869,4632,4273,7648,7195,8235,8163,7362,7957,8331,9174,6731,6246,3420,3369,2612,3327,1133,3078,0,0,1,0,1,0,2,0,3,1,22,8,75,40,190,109,422,320,371,629
