date,pop_m_<5,pop_w_<5,pop_m_5-14,pop_w_5-14,pop_m_15-24,pop_w_15-24,pop_m_25-34,pop_w_25-34,pop_m_35-44,pop_w_35-44,pop_m_45-54,pop_w_45-54,pop_m_55-64,pop_w_55-64,pop_m_65-74,pop_w_65-74,pop_m_75-84,pop_w_75-84,pop_m_>84,pop_w_>84,inf_m_<5,inf_w_<5,inf_m_5-14,inf_w_5-14,inf_m_15-24,inf_w_15-24,inf_m_25-34,inf_w_25-34,inf_m_35-44,inf_w_35-44,inf_m_45-54,inf_w_45-54,inf_m_55-64,inf_w_55-64,inf_m_65-74,inf_w_65-74,inf_m_75-84,inf_w_75-84,inf_m_>84,inf_w_>84,dea_m_<5,dea_w_<5,dea_m_5-14,dea_w_5-14,dea_m_15-24,dea_w_15-24,dea_m_25-34,dea_w_25-34,dea_m_35-44,dea_w_35-44,dea_m_45-54,dea_w_45-54,dea_m_55-64,dea_w_55-64,dea_m_65-74,dea_w_65-74,dea_m_75-84,dea_w_75-84,dea_m_>84,dea_w_>84
2021/11/13,19607,18236,37133,35351,41926,39686,54987,52317,50569,50296,55418,56274,53495,54597,33390,38062,21978,28451,6525,11807,703,602,4503,4148,6975,6473,7290,6981,6062,6488,6757,7433,5675,5159,2481,2587,1764,2027,697,1292,0,0,0,0,1,0,1,0,2,0,9,4,20,6,61,32,179,92,157,169
2021/11/12,19607,18236,37133,35351,41926,39686,54987,52317,50569,50296,55418,56274,53495,54597,33390,38062,21978,28451,6525,11807,696,593,4421,4083,6894,6405,7219,6907,5980,6409,6693,7362,5622,5115,2458,2565,1750,2018,695,1287,0,0,0,0,1,0,1,0,2,0,9,4,20,6,61,32,179,92,157,169
2021/11/11,19607,18236,37133,35351,41926,39686,54987,52317,50569,50296,55418,56274,53495,54597,33390,38062,21978,28451,6525,11807,690,583,4343,4004,6807,6314,7103,6802,5907,6315,6623,7280,5564,5062,2438,2536,1738,2004,692,1283,0,0,0,0,1,0,1,0,2,0,9,4,20,6,61,32,179,92,157,169
2021/11/10,19607,18236,37133,35351,41926,39686,54987,52317,50569,50296,55418,56274,53495,54597,33390,38062,21978,28451,6525,11807,683,572,4278,3954,6721,6242,7025,6701,5826,6246,6559,7205,5517,5012,2414,2518,1727,1993,687,1279,0,0,0,0,1,0,1,0,2,0,9,4,20,6,61,32,178,92,157,169
2021/11/09,19607,18236,37133,35351,41926,39686,54987,52317,50569,50296,55418,56274,53495,54597,33390,38062,21978,28451,6525,11807,671,568,4145,3835,6636,6162,6952,6616,5759,6169,6505,7128,5468,4971,2395,2502,1719,1985,686,1277,0,0,0,0,1,0,1,0,2,0,9,4,20,6,61,32,178,92,157,169
2021/11/08,19607,18236,37133,35351,41926,39686,54987,52317,50569,50296,55418,56274,53495,54597,33390,38062,21978,28451,6525,11807,663,558,4044,3748,6560,6089,6853,6509,5662,6084,6417,7024,5401,4910,2372,2473,1704,1970,683,1273,0,0,0,0,1,0,1,0,2,0,9,4,20,6,61,32,178,92,157,169
2021/11/07,19607,18236,37133,35351,41926,39686,54987,52317,50569,50296,55418,56274,53495,54597,33390,38062,21978,28451,6525,11807,659,552,3981,3696,6504,6038,6781,6453,5617,6021,6369,6980,5359,4883,2354,2453,1697,1957,681,1272,0,0,0,0,1,0,1,0,2,0,9,4,20,6,61,32,178,92,157,169
2021/11/06,19607,18236,37133,35351,41926,39686,54987,52317,50569,50296,55418,56274,53495,54597,33390,38062,21978,28451,6525,11807,654,547,3958,3673,6457,5990,6734,6397,5572,5968,6334,6922,5328,4843,2341,2443,1691,1956,680,1271,0,0,0,0,1,0,1,0,2,0,9,4,20,6,61,32,178,92,157,169
2021/11/05,19607,18236,37133,35351,41926,39686,54987,52317,50569,50296,55418,56274,53495,54597,33390,38062,21978,28451,6525,11807,649,543,3925,3641,6404,5938,6662,6346,5529,5924,6288,6857,5294,4798,2321,2428,1686,1948,680,1270,0,0,0,0,1,0,1,0,2,0,9,4,20,6,61,32,178,92,157,169
2021/11/04,19607,18236,37133,35351,41926,39686,54987,52317,50569,50296,55418,56274,53495,54597,33390,38062,21978,28451,6525,11807,645,540,3863,3586,6324,5893,6600,6290,5471,5873,6242,6798,5244,4768,2300,2413,1679,1937,678,1268,0,0,0,0,1,0,1,0,2,0,9,4,20,6,61,32,178,92,157,169
