date,pop_<5,pop_5-14,pop_15-24,pop_25-34,pop_35-44,pop_45-54,pop_55-64,pop_65-74,pop_75-84,pop_>84,inf_<5,inf_5-14,inf_15-24,inf_25-34,inf_35-44,inf_45-54,inf_55-64,inf_65-74,inf_75-84,inf_>84,dea_<5,dea_5-14,dea_15-24,dea_25-34,dea_35-44,dea_45-54,dea_55-64,dea_65-74,dea_75-84,dea_>84
2021/09/27,21801,41813,44017,52868,54029,58795,54952,36794,24824,9344,733,2863,5514,5539,5190,5742,4281,2046,1373,693,0,1,0,0,0,2,20,51,106,138
2021/09/26,21801,41813,44017,52868,54029,58795,54952,36794,24824,9344,730,2847,5506,5536,5178,5734,4276,2041,1372,693,0,1,0,0,0,2,20,51,106,138
2021/09/25,21801,41813,44017,52868,54029,58795,54952,36794,24824,9344,728,2843,5492,5532,5173,5732,4271,2038,1371,692,0,1,0,0,0,2,20,51,106,138
2021/09/24,21801,41813,44017,52868,54029,58795,54952,36794,24824,9344,728,2839,5489,5530,5171,5728,4267,2036,1371,692,0,1,0,0,0,2,20,51,106,138
2021/09/23,21801,41813,44017,52868,54029,58795,54952,36794,24824,9344,726,2826,5477,5522,5154,5716,4265,2033,1366,692,0,1,0,0,0,2,20,51,106,138
2021/09/22,21801,41813,44017,52868,54029,58795,54952,36794,24824,9344,723,2816,5468,5508,5147,5704,4256,2033,1364,692,0,1,0,0,0,2,20,51,105,138
2021/09/21,21801,41813,44017,52868,54029,58795,54952,36794,24824,9344,719,2812,5462,5497,5141,5694,4252,2031,1361,692,0,1,0,0,0,2,20,50,105,138
2021/09/20,21801,41813,44017,52868,54029,58795,54952,36794,24824,9344,718,2787,5454,5491,5135,5687,4248,2025,1361,691,0,1,0,0,0,2,20,50,105,138
2021/09/19,21801,41813,44017,52868,54029,58795,54952,36794,24824,9344,715,2778,5447,5483,5130,5680,4244,2024,1360,691,0,1,0,0,0,2,20,50,105,138
2021/09/18,21801,41813,44017,52868,54029,58795,54952,36794,24824,9344,706,2769,5436,5477,5119,5675,4240,2024,1360,691,0,1,0,0,0,2,20,50,105,138
