date,pop_m_<5,pop_w_<5,pop_m_5-14,pop_w_5-14,pop_m_15-24,pop_w_15-24,pop_m_25-34,pop_w_25-34,pop_m_35-44,pop_w_35-44,pop_m_45-54,pop_w_45-54,pop_m_55-64,pop_w_55-64,pop_m_65-74,pop_w_65-74,pop_m_75-84,pop_w_75-84,pop_m_>84,pop_w_>84,inf_m_<5,inf_w_<5,inf_m_5-14,inf_w_5-14,inf_m_15-24,inf_w_15-24,inf_m_25-34,inf_w_25-34,inf_m_35-44,inf_w_35-44,inf_m_45-54,inf_w_45-54,inf_m_55-64,inf_w_55-64,inf_m_65-74,inf_w_65-74,inf_m_75-84,inf_w_75-84,inf_m_>84,inf_w_>84,dea_m_<5,dea_w_<5,dea_m_5-14,dea_w_5-14,dea_m_15-24,dea_w_15-24,dea_m_25-34,dea_w_25-34,dea_m_35-44,dea_w_35-44,dea_m_45-54,dea_w_45-54,dea_m_55-64,dea_w_55-64,dea_m_65-74,dea_w_65-74,dea_m_75-84,dea_w_75-84,dea_m_>84,dea_w_>84
2021/07/29,11205,10596,21482,20331,23000,21017,27133,25735,27010,27019,29437,29358,27539,27413,17428,19366,10925,13899,3196,6148,277,275,1151,1114,2496,2317,2517,2436,2258,2429,2585,2791,2062,1959,946,999,603,695,225,444,0,0,1,0,0,0,0,0,0,0,2,0,13,7,33,16,64,35,65,71
2021/07/28,11205,10596,21482,20331,23000,21017,27133,25735,27010,27019,29437,29358,27539,27413,17428,19366,10925,13899,3196,6148,276,273,1150,1114,2493,2316,2513,2435,2256,2427,2585,2790,2058,1959,946,999,603,695,225,444,0,0,1,0,0,0,0,0,0,0,2,0,13,7,33,16,64,35,65,71
2021/07/27,11205,10596,21482,20331,23000,21017,27133,25735,27010,27019,29437,29358,27539,27413,17428,19366,10925,13899,3196,6148,276,273,1150,1113,2490,2314,2512,2433,2256,2426,2585,2790,2058,1959,946,999,603,695,225,444,0,0,1,0,0,0,0,0,0,0,2,0,13,7,33,16,64,35,65,71
2021/07/26,11205,10596,21482,20331,23000,21017,27133,25735,27010,27019,29437,29358,27539,27413,17428,19366,10925,13899,3196,6148,276,272,1150,1113,2484,2313,2510,2428,2256,2426,2584,2790,2058,1959,945,999,603,695,225,444,0,0,1,0,0,0,0,0,0,0,2,0,13,7,33,16,64,35,65,71
2021/07/25,11205,10596,21482,20331,23000,21017,27133,25735,27010,27019,29437,29358,27539,27413,17428,19366,10925,13899,3196,6148,276,272,1149,1112,2480,2309,2508,2427,2256,2426,2584,2790,2058,1959,945,999,603,695,225,444,0,0,1,0,0,0,0,0,0,0,2,0,13,7,33,16,64,35,65,71
2021/07/24,11205,10596,21482,20331,23000,21017,27133,25735,27010,27019,29437,29358,27539,27413,17428,19366,10925,13899,3196,6148,276,270,1147,1112,2476,2304,2504,2424,2256,2422,2582,2789,2058,1959,944,999,603,695,225,444,0,0,1,0,0,0,0,0,0,0,2,0,13,7,33,16,64,35,65,71
2021/07/23,11205,10596,21482,20331,23000,21017,27133,25735,27010,27019,29437,29358,27539,27413,17428,19366,10925,13899,3196,6148,276,270,1147,1110,2472,2304,2501,2422,2254,2420,2582,2789,2058,1959,944,999,603,695,225,444,0,0,1,0,0,0,0,0,0,0,2,0,13,7,33,16,64,35,65,71
2021/07/22,11205,10596,21482,20331,23000,21017,27133,25735,27010,27019,29437,29358,27539,27413,17428,19366,10925,13899,3196,6148,276,270,1147,1110,2469,2302,2498,2420,2254,2420,2581,2788,2058,1958,944,999,603,695,225,444,0,0,1,0,0,0,0,0,0,0,2,0,13,7,33,16,64,35,65,71
2021/07/21,11205,10596,21482,20331,23000,21017,27133,25735,27010,27019,29437,29358,27539,27413,17428,19366,10925,13899,3196,6148,276,270,1147,1109,2461,2297,2495,2416,2253,2419,2579,2788,2058,1957,944,999,603,694,224,444,0,0,1,0,0,0,0,0,0,0,2,0,13,7,33,16,64,35,65,71
2021/07/20,11205,10596,21482,20331,23000,21017,27133,25735,27010,27019,29437,29358,27539,27413,17428,19366,10925,13899,3196,6148,276,270,1147,1109,2460,2295,2489,2416,2252,2417,2579,2788,2058,1956,944,999,603,694,224,444,0,0,1,0,0,0,0,0,0,0,2,0,13,7,33,16,64,35,65,71
