date,pop_<5,pop_5-14,pop_15-24,pop_25-34,pop_35-44,pop_45-54,pop_55-64,pop_65-74,pop_75-84,pop_>84,inf_<5,inf_5-14,inf_15-24,inf_25-34,inf_35-44,inf_45-54,inf_55-64,inf_65-74,inf_75-84,inf_>84,dea_<5,dea_5-14,dea_15-24,dea_25-34,dea_35-44,dea_45-54,dea_55-64,dea_65-74,dea_75-84,dea_>84
2021/10/27,97727,180733,218384,319696,279755,268486,238543,160508,119382,37735,3455,19325,29452,33918,28534,26006,17264,8247,6592,4199,0,1,5,8,10,68,175,422,835,964
2021/10/26,97727,180733,218384,319696,279755,268486,238543,160508,119382,37735,3449,19272,29397,33840,28458,25941,17226,8213,6563,4196,0,1,5,8,10,68,175,422,834,964
2021/10/25,97727,180733,218384,319696,279755,268486,238543,160508,119382,37735,3439,19211,29318,33736,28351,25876,17173,8174,6546,4190,0,1,5,8,10,67,174,421,834,963
2021/10/24,97727,180733,218384,319696,279755,268486,238543,160508,119382,37735,3429,19146,29260,33639,28279,25793,17134,8144,6522,4188,0,1,5,8,10,67,174,421,833,963
2021/10/23,97727,180733,218384,319696,279755,268486,238543,160508,119382,37735,3414,19089,29196,33570,28209,25737,17095,8123,6507,4181,0,1,5,8,10,67,174,420,832,962
2021/10/22,97727,180733,218384,319696,279755,268486,238543,160508,119382,37735,3404,19023,29135,33483,28123,25682,17047,8091,6492,4171,0,1,5,8,10,66,173,419,831,961
2021/10/21,97727,180733,218384,319696,279755,268486,238543,160508,119382,37735,3394,18961,29084,33392,28030,25623,16995,8049,6467,4166,0,1,5,8,10,66,172,419,831,961
2021/10/20,97727,180733,218384,319696,279755,268486,238543,160508,119382,37735,3384,18893,29031,33301,27941,25545,16942,8024,6452,4160,0,1,5,8,10,66,172,419,831,961
2021/10/19,97727,180733,218384,319696,279755,268486,238543,160508,119382,37735,3373,18753,28974,33224,27857,25481,16896,7998,6436,4155,0,1,5,8,10,66,172,418,830,959
2021/10/18,97727,180733,218384,319696,279755,268486,238543,160508,119382,37735,3357,18602,28889,33124,27763,25394,16850,7972,6413,4149,0,1,5,8,10,66,172,418,830,959
