date,pop_m_<5,pop_w_<5,pop_m_5-14,pop_w_5-14,pop_m_15-24,pop_w_15-24,pop_m_25-34,pop_w_25-34,pop_m_35-44,pop_w_35-44,pop_m_45-54,pop_w_45-54,pop_m_55-64,pop_w_55-64,pop_m_65-74,pop_w_65-74,pop_m_75-84,pop_w_75-84,pop_m_>84,pop_w_>84,inf_m_<5,inf_w_<5,inf_m_5-14,inf_w_5-14,inf_m_15-24,inf_w_15-24,inf_m_25-34,inf_w_25-34,inf_m_35-44,inf_w_35-44,inf_m_45-54,inf_w_45-54,inf_m_55-64,inf_w_55-64,inf_m_65-74,inf_w_65-74,inf_m_75-84,inf_w_75-84,inf_m_>84,inf_w_>84,dea_m_<5,dea_w_<5,dea_m_5-14,dea_w_5-14,dea_m_15-24,dea_w_15-24,dea_m_25-34,dea_w_25-34,dea_m_35-44,dea_w_35-44,dea_m_45-54,dea_w_45-54,dea_m_55-64,dea_w_55-64,dea_m_65-74,dea_w_65-74,dea_m_75-84,dea_w_75-84,dea_m_>84,dea_w_>84
2022/08/23,50224,47503,93460,87273,109748,108636,161221,158475,141391,138364,132525,135961,117043,121500,71617,88891,49135,70247,11643,26092,15345,14343,72587,66078,77319,84326,106563,115264,89244,99783,71609,82811,53362,55050,23651,27635,15940,20028,4269,9220,0,0,1,0,5,0,8,6,11,8,71,41,208,93,432,283,794,600,600,1037
2022/08/22,50224,47503,93460,87273,109748,108636,161221,158475,141391,138364,132525,135961,117043,121500,71617,88891,49135,70247,11643,26092,15326,14333,72541,66017,77231,84236,106406,115037,89107,99641,71505,82686,53274,54939,23595,27566,15907,19972,4260,9203,0,0,1,0,5,0,8,6,11,8,71,41,208,93,432,283,794,600,600,1037
2022/08/21,50224,47503,93460,87273,109748,108636,161221,158475,141391,138364,132525,135961,117043,121500,71617,88891,49135,70247,11643,26092,15296,14310,72490,65960,77140,84123,106229,114839,88948,99460,71374,82515,53155,54803,23536,27479,15854,19927,4253,9183,0,0,1,0,5,0,8,6,11,8,71,41,208,93,432,283,794,600,597,1036
2022/08/20,50224,47503,93460,87273,109748,108636,161221,158475,141391,138364,132525,135961,117043,121500,71617,88891,49135,70247,11643,26092,15285,14300,72444,65914,77101,84068,106150,114732,88849,99345,71303,82407,53108,54747,23512,27448,15838,19897,4251,9175,0,0,1,0,5,0,8,6,11,8,71,41,208,93,432,283,794,600,597,1035
2022/08/19,50224,47503,93460,87273,109748,108636,161221,158475,141391,138364,132525,135961,117043,121500,71617,88891,49135,70247,11643,26092,15265,14281,72392,65853,77025,83983,106014,114583,88716,99217,71202,82279,53020,54640,23457,27392,15805,19859,4241,9158,0,0,1,0,5,0,8,6,11,8,71,41,208,93,432,283,793,597,597,1034
2022/08/18,50224,47503,93460,87273,109748,108636,161221,158475,141391,138364,132525,135961,117043,121500,71617,88891,49135,70247,11643,26092,15239,14258,72333,65814,76944,83896,105862,114412,88606,99085,71091,82156,52932,54523,23402,27323,15770,19816,4229,9138,0,0,1,0,5,0,8,6,11,8,71,41,208,93,432,283,791,597,597,1033
2022/08/17,50224,47503,93460,87273,109748,108636,161221,158475,141391,138364,132525,135961,117043,121500,71617,88891,49135,70247,11643,26092,15217,14236,72276,65754,76864,83804,105674,114190,88449,98939,70997,82031,52853,54420,23354,27265,15738,19778,4225,9124,0,0,1,0,5,0,8,6,11,8,71,41,208,93,432,283,789,597,596,1032
2022/08/16,50224,47503,93460,87273,109748,108636,161221,158475,141391,138364,132525,135961,117043,121500,71617,88891,49135,70247,11643,26092,15186,14212,72197,65676,76733,83677,105408,113894,88204,98671,70835,81805,52738,54278,23278,27185,15678,19707,4211,9116,0,0,1,0,5,0,8,6,11,8,71,41,207,93,432,283,788,597,595,1029
2022/08/15,50224,47503,93460,87273,109748,108636,161221,158475,141391,138364,132525,135961,117043,121500,71617,88891,49135,70247,11643,26092,15168,14191,72132,65617,76640,83564,105181,113636,88020,98455,70671,81579,52593,54119,23218,27097,15633,19633,4196,9095,0,0,1,0,5,0,8,6,11,8,71,41,207,93,432,283,787,597,595,1028
2022/08/14,50224,47503,93460,87273,109748,108636,161221,158475,141391,138364,132525,135961,117043,121500,71617,88891,49135,70247,11643,26092,15137,14175,72072,65573,76569,83466,105047,113456,87890,98291,70568,81430,52502,54031,23188,27035,15602,19603,4193,9079,0,0,1,0,5,0,8,6,11,8,71,41,207,93,431,283,787,597,593,1028
2022/08/13,50224,47503,93460,87273,109748,108636,161221,158475,141391,138364,132525,135961,117043,121500,71617,88891,49135,70247,11643,26092,15124,14161,72023,65539,76531,83408,104970,113372,87798,98209,70493,81341,52448,53979,23156,27002,15578,19577,4190,9072,0,0,1,0,5,0,8,6,11,8,71,41,207,93,431,283,787,597,593,1026
2022/08/12,50224,47503,93460,87273,109748,108636,161221,158475,141391,138364,132525,135961,117043,121500,71617,88891,49135,70247,11643,26092,15099,14141,71951,65474,76453,83322,104826,113195,87675,98055,70365,81215,52349,53864,23129,26951,15551,19545,4180,9065,0,0,1,0,5,0,8,6,11,8,71,41,207,93,431,283,787,597,592,1026
