date,pop_<5,pop_5-14,pop_15-24,pop_25-34,pop_35-44,pop_45-54,pop_55-64,pop_65-74,pop_75-84,pop_>84,inf_<5,inf_5-14,inf_15-24,inf_25-34,inf_35-44,inf_45-54,inf_55-64,inf_65-74,inf_75-84,inf_>84,dea_<5,dea_5-14,dea_15-24,dea_25-34,dea_35-44,dea_45-54,dea_55-64,dea_65-74,dea_75-84,dea_>84
2021/12/21,433755,851733,941982,1208961,1185121,1308912,1285913,872171,620256,223860,21131,156921,183506,200207,196188,198783,145855,71146,50656,27424,1,3,11,27,57,259,845,2019,4442,5491
2021/12/20,433755,851733,941982,1208961,1185121,1308912,1285913,872171,620256,223860,21065,156461,183080,199694,195695,198377,145590,71040,50613,27402,1,3,11,27,57,258,844,2017,4440,5487
2021/12/19,433755,851733,941982,1208961,1185121,1308912,1285913,872171,620256,223860,20984,156131,182837,199322,195350,198100,145368,70957,50576,27376,1,3,10,27,57,256,843,2013,4438,5482
2021/12/18,433755,851733,941982,1208961,1185121,1308912,1285913,872171,620256,223860,20924,155830,182620,198982,194984,197798,145189,70884,50537,27359,1,3,10,27,57,256,842,2010,4430,5472
2021/12/17,433755,851733,941982,1208961,1185121,1308912,1285913,872171,620256,223860,20864,155569,182367,198641,194616,197495,144925,70809,50491,27322,1,3,10,27,57,256,839,2006,4420,5469
2021/12/16,433755,851733,941982,1208961,1185121,1308912,1285913,872171,620256,223860,20791,155193,182070,198233,194176,197141,144683,70720,50443,27296,1,3,10,27,57,256,836,1999,4414,5466
2021/12/15,433755,851733,941982,1208961,1185121,1308912,1285913,872171,620256,223860,20703,154785,181729,197729,193670,196747,144414,70624,50375,27256,1,3,10,27,57,255,833,1992,4405,5462
2021/12/14,433755,851733,941982,1208961,1185121,1308912,1285913,872171,620256,223860,20602,154301,181346,197226,193127,196336,144132,70493,50311,27226,1,3,10,27,56,253,827,1989,4402,5451
2021/12/13,433755,851733,941982,1208961,1185121,1308912,1285913,872171,620256,223860,20473,153539,180786,196615,192356,195684,143749,70352,50224,27186,1,3,10,27,55,253,822,1980,4390,5440
2021/12/12,433755,851733,941982,1208961,1185121,1308912,1285913,872171,620256,223860,20375,152959,180432,196143,191815,195266,143470,70247,50148,27154,1,3,10,27,55,252,820,1972,4380,5424
