date,pop_m_<5,pop_w_<5,pop_m_5-14,pop_w_5-14,pop_m_15-24,pop_w_15-24,pop_m_25-34,pop_w_25-34,pop_m_35-44,pop_w_35-44,pop_m_45-54,pop_w_45-54,pop_m_55-64,pop_w_55-64,pop_m_65-74,pop_w_65-74,pop_m_75-84,pop_w_75-84,pop_m_>84,pop_w_>84,inf_m_<5,inf_w_<5,inf_m_5-14,inf_w_5-14,inf_m_15-24,inf_w_15-24,inf_m_25-34,inf_w_25-34,inf_m_35-44,inf_w_35-44,inf_m_45-54,inf_w_45-54,inf_m_55-64,inf_w_55-64,inf_m_65-74,inf_w_65-74,inf_m_75-84,inf_w_75-84,inf_m_>84,inf_w_>84,dea_m_<5,dea_w_<5,dea_m_5-14,dea_w_5-14,dea_m_15-24,dea_w_15-24,dea_m_25-34,dea_w_25-34,dea_m_35-44,dea_w_35-44,dea_m_45-54,dea_w_45-54,dea_m_55-64,dea_w_55-64,dea_m_65-74,dea_w_65-74,dea_m_75-84,dea_w_75-84,dea_m_>84,dea_w_>84
2022/04/25,222842,210913,438193,413540,484733,457249,617820,591141,597136,587985,651968,656944,636614,649299,407643,464528,265675,354581,74328,149532,47007,43784,303013,279377,299521,306007,336352,356841,318551,362326,292010,328445,229450,233695,106409,112219,63900,74208,20394,42045,1,1,3,2,13,2,26,19,59,33,257,133,889,400,1948,1004,3743,2680,3361,4912
2022/04/24,222842,210913,438193,413540,484733,457249,617820,591141,597136,587985,651968,656944,636614,649299,407643,464528,265675,354581,74328,149532,46947,43722,302677,279041,299228,305632,335911,356318,318087,361806,291573,327909,229025,233249,106220,111976,63734,74019,20322,41953,1,1,3,2,13,2,26,19,59,33,257,133,888,400,1948,1004,3742,2680,3359,4910
2022/04/23,222842,210913,438193,413540,484733,457249,617820,591141,597136,587985,651968,656944,636614,649299,407643,464528,265675,354581,74328,149532,46898,43679,302492,278841,298987,305377,335612,355911,317763,361462,291231,327471,228704,232942,106057,111787,63624,73863,20295,41894,1,1,3,2,13,2,26,19,59,33,257,133,888,400,1946,1003,3740,2679,3358,4910
2022/04/22,222842,210913,438193,413540,484733,457249,617820,591141,597136,587985,651968,656944,636614,649299,407643,464528,265675,354581,74328,149532,46848,43631,302290,278606,298673,305040,335195,355415,317338,360998,290874,327005,228311,232465,105847,111498,63453,73693,20245,41816,1,1,3,2,13,2,26,19,59,33,257,133,888,400,1944,1003,3740,2676,3357,4906
2022/04/21,222842,210913,438193,413540,484733,457249,617820,591141,597136,587985,651968,656944,636614,649299,407643,464528,265675,354581,74328,149532,46783,43571,302086,278416,298323,304632,334639,354837,316891,360465,290400,326487,227863,231872,105548,111182,63266,73481,20188,41685,1,1,3,2,13,2,26,19,59,33,257,133,888,400,1940,1002,3735,2674,3357,4901
2022/04/20,222842,210913,438193,413540,484733,457249,617820,591141,597136,587985,651968,656944,636614,649299,407643,464528,265675,354581,74328,149532,46716,43499,301677,278021,297814,304000,334023,354112,316341,359815,289891,325815,227359,231281,105264,110837,63052,73234,20131,41565,1,1,3,2,13,2,26,19,59,33,257,133,887,400,1939,1001,3732,2672,3352,4896
2022/04/19,222842,210913,438193,413540,484733,457249,617820,591141,597136,587985,651968,656944,636614,649299,407643,464528,265675,354581,74328,149532,46639,43422,300926,277345,297160,303220,333275,353180,315598,358911,289162,324901,226747,230502,104880,110376,62774,72939,20050,41395,1,1,3,2,13,2,26,19,59,33,256,133,887,400,1938,1001,3730,2670,3351,4892
2022/04/18,222842,210913,438193,413540,484733,457249,617820,591141,597136,587985,651968,656944,636614,649299,407643,464528,265675,354581,74328,149532,46545,43346,300380,276813,296753,302707,332696,352479,314957,358108,288569,324145,226227,229872,104604,110033,62583,72716,19975,41268,1,1,3,2,13,2,26,19,59,33,256,133,885,400,1935,1001,3728,2668,3349,4886
2022/04/17,222842,210913,438193,413540,484733,457249,617820,591141,597136,587985,651968,656944,636614,649299,407643,464528,265675,354581,74328,149532,46483,43289,300068,276515,296497,302381,332290,352006,314523,357616,288121,323608,225819,229409,104403,109800,62457,72562,19933,41206,1,1,3,2,13,2,26,19,59,33,256,133,885,399,1935,1000,3724,2667,3348,4882
2022/04/16,222842,210913,438193,413540,484733,457249,617820,591141,597136,587985,651968,656944,636614,649299,407643,464528,265675,354581,74328,149532,46425,43228,299832,276268,296251,302039,331870,351555,314137,357122,287703,323100,225443,228913,104179,109523,62326,72406,19894,41131,1,1,3,2,13,2,26,19,59,33,256,133,884,399,1935,1000,3718,2666,3344,4876
2022/04/15,222842,210913,438193,413540,484733,457249,617820,591141,597136,587985,651968,656944,636614,649299,407643,464528,265675,354581,74328,149532,46342,43161,299507,275963,295920,301649,331331,350944,313571,356420,287210,322460,224917,228276,103861,109142,62121,72158,19837,41042,1,1,3,2,13,2,26,19,59,33,256,133,883,399,1932,1000,3714,2665,3342,4873
2022/04/14,222842,210913,438193,413540,484733,457249,617820,591141,597136,587985,651968,656944,636614,649299,407643,464528,265675,354581,74328,149532,46249,43087,299198,275631,295521,301206,330716,350151,312967,355676,286554,321707,224353,227555,103475,108701,61808,71841,19750,40871,1,1,3,2,13,2,26,19,59,33,256,133,883,399,1928,1000,3713,2663,3339,4866
2022/04/13,222842,210913,438193,413540,484733,457249,617820,591141,597136,587985,651968,656944,636614,649299,407643,464528,265675,354581,74328,149532,46115,42981,298829,275265,295082,300617,329926,349288,312240,354800,285849,320865,223670,226788,103066,108242,61518,71493,19656,40714,1,1,3,2,13,2,26,19,59,33,256,133,883,399,1926,1000,3710,2659,3337,4863
2022/04/12,222842,210913,438193,413540,484733,457249,617820,591141,597136,587985,651968,656944,636614,649299,407643,464528,265675,354581,74328,149532,46002,42868,298397,274867,294614,300012,329076,348310,311476,353927,285160,319987,222972,226037,102597,107761,61215,71152,19562,40535,1,1,3,2,13,2,26,19,59,33,256,132,882,399,1923,1000,3706,2658,3335,4855
2022/04/11,222842,210913,438193,413540,484733,457249,617820,591141,597136,587985,651968,656944,636614,649299,407643,464528,265675,354581,74328,149532,45866,42741,297917,274382,294043,299345,328077,347209,310504,352845,284280,318841,222152,225069,102063,107142,60808,70708,19443,40322,1,1,3,2,13,2,26,19,59,33,256,132,881,399,1922,999,3703,2652,3330,4844
2022/04/10,222842,210913,438193,413540,484733,457249,617820,591141,597136,587985,651968,656944,636614,649299,407643,464528,265675,354581,74328,149532,45734,42629,297521,273996,293663,298898,327369,346420,309800,351968,283575,317993,221467,224270,101720,106703,60542,70375,19357,40136,1,1,3,2,13,2,26,19,59,33,256,130,879,398,1919,999,3701,2650,3324,4837
2022/04/09,222842,210913,438193,413540,484733,457249,617820,591141,597136,587985,651968,656944,636614,649299,407643,464528,265675,354581,74328,149532,45611,42510,297185,273638,293347,298534,326820,345796,309234,351287,283003,317332,220983,223748,101463,106371,60341,70169,19310,40058,1,1,3,2,13,2,26,19,59,33,256,130,878,398,1916,997,3699,2648,3316,4833
2022/04/08,222842,210913,438193,413540,484733,457249,617820,591141,597136,587985,651968,656944,636614,649299,407643,464528,265675,354581,74328,149532,45451,42354,296728,273158,292884,297971,326050,344886,308416,350309,282225,316414,220240,222930,101037,105861,60102,69847,19242,39906,1,1,3,2,13,2,26,19,59,33,255,130,875,397,1915,995,3692,2642,3312,4830
2022/04/07,222842,210913,438193,413540,484733,457249,617820,591141,597136,587985,651968,656944,636614,649299,407643,464528,265675,354581,74328,149532,45305,42200,296038,272466,292209,297258,325086,343755,307455,349159,281326,315367,219424,221957,100526,105311,59746,69494,19140,39701,1,1,3,2,13,2,26,19,59,33,255,130,873,396,1910,995,3689,2640,3307,4825
2022/04/06,222842,210913,438193,413540,484733,457249,617820,591141,597136,587985,651968,656944,636614,649299,407643,464528,265675,354581,74328,149532,45137,42074,295196,271616,291496,296475,324072,342533,306432,348009,280439,314206,218590,220974,99999,104703,59393,69098,19024,39470,1,1,3,2,13,2,26,19,58,33,255,130,870,396,1909,994,3687,2637,3300,4815
2022/04/05,222842,210913,438193,413540,484733,457249,617820,591141,597136,587985,651968,656944,636614,649299,407643,464528,265675,354581,74328,149532,44938,41898,294196,270647,290578,295461,322791,341058,305244,346579,279381,312862,217621,219784,99429,104114,59012,68667,18932,39262,1,1,3,2,13,2,26,19,58,33,255,130,868,396,1905,992,3683,2635,3297,4806
2022/04/04,222842,210913,438193,413540,484733,457249,617820,591141,597136,587985,651968,656944,636614,649299,407643,464528,265675,354581,74328,149532,44685,41690,292538,269115,289425,294267,321274,339236,303847,344904,277968,311130,216358,218361,98785,103337,58543,68118,18775,38929,1,1,3,2,13,2,26,19,58,33,255,130,868,394,1901,987,3678,2629,3291,4801
2022/04/03,222842,210913,438193,413540,484733,457249,617820,591141,597136,587985,651968,656944,636614,649299,407643,464528,265675,354581,74328,149532,44513,41496,291324,267974,288610,293451,320275,338029,302690,343687,276943,309891,215400,217239,98273,102783,58167,67725,18669,38719,1,1,3,2,13,2,26,19,58,33,255,129,868,393,1896,986,3673,2629,3285,4796
2022/04/02,222842,210913,438193,413540,484733,457249,617820,591141,597136,587985,651968,656944,636614,649299,407643,464528,265675,354581,74328,149532,44322,41334,290646,267306,288080,292857,319451,337040,301741,342612,276119,308869,214705,216416,97860,102339,57910,67456,18587,38598,1,1,3,2,13,2,26,19,58,33,255,129,868,392,1891,983,3665,2627,3279,4787
2022/04/01,222842,210913,438193,413540,484733,457249,617820,591141,597136,587985,651968,656944,636614,649299,407643,464528,265675,354581,74328,149532,44140,41169,289919,266616,287385,292047,318426,335849,300699,341425,275101,307671,213773,215348,97345,101711,57570,67057,18485,38415,1,1,3,2,13,2,26,19,58,33,255,129,866,392,1887,982,3658,2625,3274,4780
2022/03/31,222842,210913,438193,413540,484733,457249,617820,591141,597136,587985,651968,656944,636614,649299,407643,464528,265675,354581,74328,149532,43909,40973,288901,265600,286413,290938,317014,334254,299325,339823,273761,306053,212521,213919,96629,100913,57146,66537,18353,38099,1,1,3,2,13,2,26,19,58,33,255,129,864,391,1880,977,3650,2618,3266,4773
2022/03/30,222842,210913,438193,413540,484733,457249,617820,591141,597136,587985,651968,656944,636614,649299,407643,464528,265675,354581,74328,149532,43690,40760,287507,264300,285122,289467,315360,332385,297806,337999,272302,304305,211143,212295,95840,99991,56596,65879,18196,37757,1,1,3,2,13,2,26,18,58,33,255,129,863,389,1877,976,3641,2614,3259,4760
2022/03/29,222842,210913,438193,413540,484733,457249,617820,591141,597136,587985,651968,656944,636614,649299,407643,464528,265675,354581,74328,149532,43443,40513,285749,262714,283601,287724,313308,330190,296029,335853,270543,302180,209521,210487,94988,98970,55986,65193,18051,37405,1,1,3,2,13,2,26,18,57,33,255,128,862,387,1873,973,3631,2609,3250,4753
2022/03/28,222842,210913,438193,413540,484733,457249,617820,591141,597136,587985,651968,656944,636614,649299,407643,464528,265675,354581,74328,149532,43131,40195,283339,260473,281664,285576,310705,327374,293599,333131,268208,299353,207393,208151,93890,97710,55218,64285,17817,36930,1,1,3,2,13,2,26,18,57,33,255,128,861,387,1872,971,3620,2605,3242,4747
2022/03/27,222842,210913,438193,413540,484733,457249,617820,591141,597136,587985,651968,656944,636614,649299,407643,464528,265675,354581,74328,149532,42827,39904,281466,258869,280223,284072,308824,325316,291658,330968,266211,297015,205779,206378,93091,96793,54631,63642,17642,36623,1,1,3,2,13,2,26,18,57,33,254,128,861,387,1869,969,3612,2601,3235,4738
2022/03/26,222842,210913,438193,413540,484733,457249,617820,591141,597136,587985,651968,656944,636614,649299,407643,464528,265675,354581,74328,149532,42556,39644,280352,257725,279180,282928,307255,323543,290004,329067,264617,295040,204326,204850,92445,95949,54181,63138,17519,36452,1,1,3,2,13,2,26,18,56,33,254,128,861,386,1867,967,3608,2597,3233,4728
2022/03/25,222842,210913,438193,413540,484733,457249,617820,591141,597136,587985,651968,656944,636614,649299,407643,464528,265675,354581,74328,149532,42241,39356,279066,256498,277904,281455,305315,321319,288105,326789,262812,292816,202593,202882,91553,94925,53579,62427,17327,36103,1,1,3,2,13,1,26,18,56,32,254,128,860,385,1863,966,3603,2588,3229,4718
2022/03/24,222842,210913,438193,413540,484733,457249,617820,591141,597136,587985,651968,656944,636614,649299,407643,464528,265675,354581,74328,149532,41897,39020,277319,254875,276058,279429,302694,318409,285621,323887,260468,290004,200543,200357,90433,93628,52851,61549,17111,35660,1,1,3,2,13,1,26,18,56,32,253,128,860,385,1859,963,3594,2585,3220,4704
2022/03/23,222842,210913,438193,413540,484733,457249,617820,591141,597136,587985,651968,656944,636614,649299,407643,464528,265675,354581,74328,149532,41521,38660,275056,252759,273672,276827,299759,315219,282867,320733,257963,286809,198257,197779,89267,92268,52153,60702,16894,35220,1,1,3,2,13,1,26,18,56,32,252,128,859,383,1857,960,3588,2579,3211,4698
2022/03/22,222842,210913,438193,413540,484733,457249,617820,591141,597136,587985,651968,656944,636614,649299,407643,464528,265675,354581,74328,149532,41141,38280,272355,250307,270982,273881,296460,311484,279861,317253,255209,283468,195776,195125,88090,90891,51305,59766,16657,34760,1,1,3,2,13,1,26,18,56,31,252,127,857,383,1852,959,3583,2573,3198,4685
2022/03/21,222842,210913,438193,413540,484733,457249,617820,591141,597136,587985,651968,656944,636614,649299,407643,464528,265675,354581,74328,149532,40627,37759,268076,246210,267283,270106,292333,306908,275952,312864,251602,279026,192608,191604,86531,89162,50273,58589,16357,34141,1,1,3,2,13,1,26,18,56,31,251,126,856,383,1849,959,3576,2568,3190,4677
